"QID","Const","Ceremony","SubmissionCountry","SubmissionTitle","Languages","Directors","Result","Result2","Your.Rating","Date.Rated","Title","Original.Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Seen"
"Q174436","tt0198811","46-1974","Soviet Union","Liberation","Russian, German, English, Polish, Italian, French, Serbo-Croatian","Yuri Ozerov","Not nominated","E",NA,"","Osvobozhdenie: Napravlenie glavnogo udara","Osvobozhdenie: Napravlenie glavnogo udara","Movie",7.6,125,1971,781,"No"
"Q5636911","tt0039442","46-1974","Spain","Habla, mudita","Spanish","Manuel Gutiérrez Aragón","Not nominated","E",NA,"","Habla, mudita","Habla, mudita","Movie",6.1,88,1973,170,"No"
"Q648289","tt0070758","46-1974","Yugoslavia","The Battle of Sutjeska","Serbo-Croatian, English, German","Stipe Delić","Not nominated","E",NA,"","The Battle of Sutjeska","Sutjeska","Movie",6.8,130,1973,1854,"No"
"Q901217","tt0070644","46-1974","Sweden","Scenes from a Marriage","Swedish","Ingmar Bergman","Disqualified","F",NA,"","Scenes from a Marriage","Scener ur ett äktenskap","TV Mini Series",8.5,51,1973,17328,"No"
"Q18428","tt0071129","47-1975","Italy","Amarcord","Italian","Federico Fellini","Won Academy Award","A",8,"2021-07-11","Amarcord","Amarcord","Movie",7.8,123,1974,47054,"Yes"
"Q1634612","tt0072315","47-1975","Argentina","The Truce","Spanish","Sergio Renán","Nominated","B",NA,"","The Truce","La tregua","Movie",7.3,108,1974,702,"No"
"Q836115","tt0071733","47-1975","France","Lacombe, Lucien","French, German","Louis Malle","Nominated","B",NA,"","Lacombe, Lucien","Lacombe Lucien","Movie",7.6,138,1974,7757,"No"
"Q1475436","tt0068891","47-1975","Hungary","Cats' Play","Hungarian","Károly Makk","Nominated","B",NA,"","Cat's Play","Macskajáték","Movie",6.5,98,1974,239,"No"
"Q960920","tt0072021","47-1975","Poland","The Deluge","Polish","Jerzy Hoffman","Nominated","B",NA,"","The Deluge","Potop","Movie",7.7,287,1974,3202,"No"
"Q2946853","tt0070338","47-1975","Belgium","The Conscript","Dutch","Roland Verhavert","Not nominated","E",NA,"","The Conscript","De loteling","Movie",6.5,93,1974,350,"No"
"Q7754149","tt0071921","47-1975","Brazil","The Scarecrow's Night","Brazilian Portuguese","Sérgio Ricardo","Not nominated","E",NA,"","A Noite do Espantalho","A Noite do Espantalho","Movie",7.4,92,1974,100,"No"
"Q7746063","tt0171644","47-1975","Bulgaria","The Last Summer","Bulgarian","Hristo Hristov","Not nominated","E",NA,"","Posledno lyato","Posledno lyato","Movie",7.3,86,1974,56,"No"
"Q6692470","tt0170244","47-1975","Czechoslovakia","Lovers in the Year One","Czech","Jaroslav Balík","Not nominated","E",NA,"","Milenci v roce jedna","Milenci v roce jedna","Movie",6,95,1974,49,"No"
"Q1192010","tt0071939","47-1975","Denmark","The Olsen Gang's Last Escapade","Danish","Erik Balling","Not nominated","E",NA,"","The Last Exploits of the Olsen Gang","Olsen-bandens sidste bedrifter","Movie",7.1,102,1974,1991,"No"
"Q122480037","tt5822888","47-1975","Egypt","Where Is My Mind?","Arabic","Atef Salem","Not nominated","E",NA,"","Where Is My Mind?","Ayn Aqli","Movie",6.6,118,1974,153,"No"
"Q620448","tt0073034","47-1975","India","Hot Winds","Hindi, Urdu","M. S. Sathyu","Not nominated","E",NA,"","Garm Hava","Garm Hava","Movie",8,146,1974,838,"No"
"Q3232745","tt0135496","47-1975","Japan","The Fossil","Japanese","Masaki Kobayashi","Not nominated","E",NA,"","The Fossil","Kaseki","Movie",7.4,200,1974,250,"No"
"Q979900","tt0069836","47-1975","Mexico","Calzonzin Inspector","Spanish","Alfonso Arau","Not nominated","E",NA,"","Inspector Calzonzin","Calzonzín inspector","Movie",7.2,90,1974,206,"No"
"Q4541065","tt0071606","47-1975","Netherlands","Help! The Doctor Is Drowning","Dutch","Nikolai van der Heyde","Not nominated","E",NA,"","Help, de dokter verzuipt!","Help, de dokter verzuipt!","Movie",5.5,94,1974,274,"No"
"Q3223013","tt0144290","47-1975","Soviet Union","The Ferocious One","Russian","Tolomush Okeyev","Not nominated","E",NA,"","The Fierce One","Lyutyy","Movie",7,97,1974,138,"No"
"Q3696462","tt0072030","47-1975","Spain","La Prima Angelica","Spanish","Carlos Saura","Not nominated","E",NA,"","Cousin Angelica","La prima Angélica","Movie",7.4,107,1974,1231,"No"
"Q3224550","tt0071842","47-1975","Switzerland","The Middle of the World","French","Alain Tanner","Not nominated","E",NA,"","The Middle of the World","Le milieu du monde","Movie",7.1,115,1974,362,"No"
"Q1307065","tt0071459","47-1975","West Germany","One or the Other","German","Wolfgang Petersen","Not nominated","E",NA,"","One or the Other","Einer von uns beiden","Movie",6.9,105,1974,288,"No"
"Q217152","tt0175560","47-1975","Yugoslavia","The Dervish and Death","Serbo-Croatian","Zdravko Velimirović","Not nominated","E",NA,"","The Dervish and Death","Dervis i smrt","Movie",7.1,105,1974,363,"No"
"Q948023","tt0071411","48-1976","Soviet Union","Dersu Uzala","Russian, Mandarin, Kyakhta Russian–Chinese Pidgin","Akira Kurosawa","Won Academy Award","A",9,"2023-03-07","Dersu Uzala","Dersu Uzala","Movie",8.2,142,1977,33743,"Yes"
"Q128504","tt0072037","48-1976","Italy","Scent of a Woman","Italian","Dino Risi","Nominated","B",NA,"","Scent of a Woman","Profumo di donna","Movie",7.5,103,1974,5207,"No"
"Q1634715","tt0073654","48-1976","Japan","Sandakan No. 8","Japanese","Kei Kumai","Nominated","B",NA,"","Sandakan No. 8","Sandakan hachibanshokan bohkyo","Movie",7.5,120,1974,761,"No"
"Q1453400","tt0072601","48-1976","Mexico","Letters from Marusia","Spanish","Miguel Littín","Nominated","B",NA,"","Letters from Marusia","Actas de Marusia","Movie",6.9,110,1975,365,"No"
"Q1171197","tt0072446","48-1976","Poland","Land of Promise","Polish, German","Andrzej Wajda","Nominated","B",NA,"","The Promised Land","Ziemia obiecana","Movie",7.8,170,1975,4044,"No"
"Q2713929","tt0072782","48-1976","Algeria","Chronicle of the Years of Fire","Algerian Arabic, French","Mohammed Lakhdar-Hamina","Not nominated","E",NA,"","Chronicle of the Years of Fire","Ahdat Sanawovach El-Djamr","Movie",7.4,177,1975,627,"No"
"Q969926","tt0071897","48-1976","Argentina","Nazareno Cruz and the Wolf","Spanish, Quechua","Leonardo Favio","Not nominated","E",NA,"","Nazareno Cruz and the Wolf","Nazareno Cruz y el lobo","Movie",6.9,92,1975,747,"No"
"Q6822609","tt0071137","48-1976","Brazil","Ogum's Amulet","Brazilian Portuguese","Nelson Pereira dos Santos","Not nominated","E",NA,"","O Amuleto de Ogum","O Amuleto de Ogum","Movie",6.9,112,1974,197,"No"
"Q3018642","tt0071949","48-1976","Canada","Orders","French","Michel Brault","Not nominated","E",NA,"","Orders","Les ordres","Movie",8.1,109,1974,1161,"No"
"Q4427916","tt0073728","48-1976","Czechoslovakia","Circus in the Circus","Czech, Russian","Oldřich Lipský","Not nominated","E",NA,"","Cirkus v cirkuse","Cirkus v cirkuse","Movie",5.7,131,1975,105,"No"
"Q7166628","tt0071984","48-1976","Denmark","Per","Danish","Hans Kristensen","Not nominated","E",NA,"","Per","Per","Movie",5.1,107,1975,70,"No"
"Q5979565","tt0462705","48-1976","Egypt","I Want a Solution","Egyptian Arabic","Said Marzouk","Not nominated","E",NA,"","Orid hallan","Orid hallan","Movie",6.9,115,1975,210,"No"
"Q3007766","tt0073166","48-1976","France","India Song","French","Marguerite Duras","Not nominated","E",NA,"","India Song","India Song","Movie",6.1,120,1975,2619,"No"
"Q2162663","tt0073800","48-1976","Greece","The Travelling Players","Greek","Theodoros Angelopoulos","Not nominated","E",NA,"","The Travelling Players","O thiasos","Movie",7.9,230,1975,4377,"No"
"Q1475202","tt0073948","48-1976","Hungary","Adoption","Hungarian","Márta Mészáros","Not nominated","E",NA,"","Adoption","Örökbefogadás","Movie",7.2,89,1975,1509,"No"
"Q6946037","tt0073383","48-1976","Israel","My Michael","Hebrew","Dan Wolman","Not nominated","E",NA,"","My Michael","Michael Sheli","Movie",6.9,95,1974,54,"No"
"Q3285037","tt0072892","48-1976","Netherlands","Dr. Pulder Sows Poppies","Dutch","Bert Haanstra","Not nominated","E",NA,"","Dokter Pulder zaait papavers","Dokter Pulder zaait papavers","Movie",6.9,105,1975,296,"No"
"Q128748","tt0073028","48-1976","Spain","Poachers","Spanish","José Luis Borau","Not nominated","E",8,"2024-02-18","Poachers","Furtivos","Movie",7.4,82,1977,915,"Yes"
"Q4808500","tt0071723","48-1976","Switzerland","Confrontation","Swiss German, German","Rolf Lyssy","Not nominated","E",NA,"","Konfrontation","Konfrontation","Movie",6.4,110,1974,35,"No"
"Q695888","tt0071691","48-1976","West Germany","Every Man For Himself and God Against All","German, English","Werner Herzog","Not nominated","E",NA,"","The Enigma of Kaspar Hauser","Jeder für sich und Gott gegen alle","Movie",7.7,110,1974,19016,"No"
"Q520479","tt0073660","48-1976","Yugoslavia","The Day That Shook the World","Czech, Serbo-Croatian, English, German","Veljko Bulajić","Not nominated","E",NA,"","The Day That Shook the World","Atentat u Sarajevu","Movie",6.1,111,1975,353,"No"
"Q1634738","tt0074972","49-1977","Ivory Coast","Black and White in Color","French, English","Jean-Jacques Annaud","Won Academy Award","A",5,"2023-09-10","Black and White in Color","La victoire en chantant","Movie",6.7,90,1977,1805,"Yes"
"Q656707","tt0071688","49-1977","East Germany","Jacob the Liar","German","Frank Beyer","Nominated","B",NA,"","Jacob the Liar","Jakob der Lügner","Movie",7.1,100,1974,1386,"No"
"Q1137880","tt0072826","49-1977","France","Cousin, Cousine","French","Jean-Charles Tacchella","Nominated","B",7,"2024-02-29","Cousin, Cousine","Cousin cousine","Movie",6.7,95,1976,1792,"Yes"
"Q1634805","tt0075040","49-1977","Italy","Seven Beauties","Italian","Lina Wertmüller","Nominated","B",NA,"","Seven Beauties","Pasqualino Settebellezze","Movie",7.7,116,1975,6535,"No"
"Q1634780","tt0073460","49-1977","Poland","Nights and Days","Polish","Jerzy Antczak","Nominated","B",NA,"","Nights and Days","Noce i dnie","Movie",7.4,245,1975,566,"No"
"Q8052949","tt0121573","49-1977","Argentina","Yesterday's Guys Used No Arsenic","Spanish","José A. Martínez Suárez","Not nominated","E",NA,"","Yesterday's Guys Used No Arsenic","Los muchachos de antes no usaban arsénico","Movie",7.4,110,1976,222,"No"
"Q3448269","tt0228801","49-1977","Belgium","High Street","French","André Ernotte","Not nominated","E",NA,"","High Street","Rue Haute","Movie",7.4,94,1976,37,"No"
"Q3563548","tt0078512","49-1977","Brazil","Xica","Brazilian Portuguese","Carlos Diegues","Not nominated","E",NA,"","Xica","Xica da Silva","Movie",7,107,1976,610,"No"
"Q7093193","tt0170074","49-1977","Czechoslovakia","One Silver Piece","Czech","Jaroslav Balík","Not nominated","E",NA,"","Jeden stribrny","Jeden stribrny","Movie",NA,97,1976,0,"No"
"Q1215282","tt0075002","49-1977","Denmark","The Olsen Gang Sees Red","Danish","Erik Balling","Not nominated","E",NA,"","The Olsen Gang Sees Red","Olsen-banden ser rødt","Movie",7.7,100,1976,2447,"No"
"Q7997601","tt3231350","49-1977","Egypt","Whom Should We Shoot?","Arabic","Kamal El Sheikh","Not nominated","E",NA,"","Whom Should We Shoot?","Ala mn notlik Al-Rosas","Movie",6.9,89,1975,143,"No"
"Q7746096","tt0075444","49-1977","Hong Kong","The Last Tempest","Mandarin","Han Hsiang Li","Not nominated","E",NA,"","The Last Tempest","Ying tai qi xue","Movie",7,118,1976,54,"No"
"Q786472","tt0075467","49-1977","Hungary","The Fifth Seal","Hungarian","Zoltán Fábri","Not nominated","E",10,"2023-10-23","The Fifth Seal","Az ötödik pecsét","Movie",8.5,116,1976,6036,"Yes"
"Q6522496","tt0218412","49-1977","Mexico","Length of War","Spanish","Gonzalo Martínez Ortega","Not nominated","E",NA,"","Longitud de guerra","Longitud de guerra","Movie",7,142,1976,54,"No"
"Q1890911","tt0074880","49-1977","Netherlands","Max Havelaar","Dutch, Indonesian","Fons Rademakers","Not nominated","E",NA,"","Max Havelaar","Max Havelaar of de koffieveilingen der Nederlandsche handelsmaatschappij","Movie",7.1,170,1976,1028,"No"
"Q5521324","tt0159456","49-1977","Philippines","Ganito Kami Noon, Paano Kayo Ngayon","Tagalog, Filipino, English, Spanish","Eddie Romero","Not nominated","E",NA,"","This Is How We Were Before, How Are You Doing Now?","Ganito kami noon... Paano kayo ngayon?","Movie",7.5,136,1976,469,"No"
"Q621357","tt0075024","49-1977","Romania","The Doom","Romanian","Sergiu Nicolaescu","Not nominated","E",NA,"","The Punishment","Osânda","Movie",8,112,1976,732,"No"
"Q2370671","tt0073488","49-1977","Soviet Union","They Fought For Their Motherland","Russian","Sergei Bondarchuk","Not nominated","E",NA,"","They Fought for Their Country","Oni srazhalis za rodinu","Movie",7.7,158,1975,3260,"No"
"Q150881","tt0074360","49-1977","Spain","Raise Ravens","Spanish","Carlos Saura","Not nominated","E",NA,"","Cría Cuervos","Cría cuervos","Movie",7.9,105,1976,11473,"No"
"Q5123832","tt0074905","49-1977","Sweden","City of My Dreams","Swedish","Ingvar Skogsberg","Not nominated","E",NA,"","Mina drömmars stad","Mina drömmars stad","Movie",6.5,168,1976,211,"No"
"Q670633","tt0074718","49-1977","Switzerland","Jonah Who Will Be 25 in the Year 2000","French","Alain Tanner","Not nominated","E",8,"2024-04-17","Jonah Who Will Be 25 in the Year 2000","Jonas qui aura 25 ans en l'an 2000","Movie",7.5,116,1976,1195,"Yes"
"Q7711993","tt0075713","49-1977","Taiwan","Eight Hundred Heroes","Mandarin","Ting Shan-hsi","Not nominated","E",NA,"","The Longest Bridge","Ba bai zhuang shi","Movie",6.1,140,1976,170,"No"
"Q1356934","tt0072650","49-1977","West Germany","The Clown","Ansichten eines Clowns","Vojtěch Jasný","Not nominated","E",NA,"","The Clown","Ansichten eines Clowns","Movie",6.7,111,1976,160,"No"
"Q1001102","tt0074701","49-1977","Yugoslavia","The Rat Savior","Serbo-Croatian","Krsto Papić","Not nominated","E",NA,"","The Rat Savior","Izbavitelj","Movie",6.7,80,1976,927,"No"
"Q989225","tt0076348","50-1978","France","Madame Rosa","French","Moshé Mizrahi","Won Academy Award","A",NA,"","Madame Rosa","La vie devant soi","Movie",7.2,105,1977,1746,"No"
"Q1080171","tt0076208","50-1978","Greece","Iphigenia","Greek","Michael Cacoyannis","Nominated","B",NA,"","Iphigenia","Ifigeneia","Movie",7.7,127,1977,2155,"No"
"Q1765286","tt0076398","50-1978","Israel","Operation Thunderbolt","Hebrew, English, Arabic, German, French, Spanish","Menahem Golan","Nominated","B",NA,"","Operation Thunderbolt","Mivtsa Yonatan","Movie",6.6,124,1977,1046,"No"
"Q249782","tt0076085","50-1978","Italy","A Special Day","Italian","Ettore Scola","Nominated","B",9,"2024-04-29","A Special Day","Una giornata particolare","Movie",8.1,106,1977,15996,"Yes"
"Q1138798","tt0075824","50-1978","Spain","That Obscure Object of Desire","French, Spanish","Luis Buñuel","Nominated","B",NA,"","That Obscure Object of Desire","Cet obscur objet du désir","Movie",7.8,103,1977,24974,"No"
"Q12156008","tt0144560","50-1978","Argentina","What Does Fall Mean?","Spanish","Daniel Portela and David José Kohon","Not nominated","E",NA,"","¿Qué es el otoño?","¿Qué es el otoño?","Movie",7.5,115,1977,26,"No"
"Q5979603","tt0335167","50-1978","Austria","I Want to Live","German","Jörg A. Eggers","Not nominated","E",NA,"","Ich will leben","Ich will leben","Movie",NA,98,1976,0,"No"
"Q3486602","tt0184870","50-1978","Belgium","Rubens","Dutch","Roland Verhavert","Not nominated","E",NA,"","Rubens, schilder en diplomaat","Rubens, schilder en diplomaat","Movie",7.5,260,1977,17,"No"
"Q7699567","tt0080004","50-1978","Brazil","Tent of Miracles","Brazilian Portuguese","Nelson Pereira dos Santos","Not nominated","E",NA,"","Tenda dos Milagres","Tenda dos Milagres","Movie",6.3,132,1977,154,"No"
"Q3156741","tt0074702","50-1978","Canada","J.A. Martin Photographer","French","Jean Beaudin","Not nominated","E",NA,"","J.A. Martin photographe","J.A. Martin photographe","Movie",8,100,1977,399,"No"
"Q4952641","tt0075962","50-1978","Denmark","Boys","Danish","Nils Malmros","Not nominated","E",NA,"","Boys","Drenge","Movie",6.3,83,1977,289,"No"
"Q824559","tt0074848","50-1978","East Germany","Mom, I Am Alive","German","Konrad Wolf","Not nominated","E",NA,"","Mama, ich lebe","Mama, ich lebe","Movie",6.8,103,1977,117,"No"
"Q1035545","tt0074623","50-1978","Hungary","A Strange Role","Hungarian","Pál Sándor","Not nominated","E",NA,"","Strange Masquerade","Herkulesfürdöi emlék","Movie",7.2,89,1976,85,"No"
"Q3286621","tt0074858","50-1978","India","Manthan","Hindi","Shyam Benegal","Not nominated","E",NA,"","Manthan","Manthan","Movie",7.7,134,1976,797,"No"
"Q7728545","tt0077403","50-1978","Iran","The Cycle","Persian","Dariush Mehrjui","Not nominated","E",NA,"","The Cycle","Dayereh mina","Movie",7.3,101,1977,835,"No"
"Q740703","tt0203549","50-1978","Japan","Mt. Hakkoda","Japanese","Shiro Moritani","Not nominated","E",NA,"","Hakkodasan","Hakkodasan","Movie",6.8,169,1977,218,"No"
"Q7124123","tt0143790","50-1978","Mexico","Pafnucio Santo","Spanish","Rafael Corkidi","Not nominated","E",NA,"","Pafnucio Santo","Pafnucio Santo","Movie",7,100,1977,100,"No"
"Q4927740","tt0316328","50-1978","Morocco","Blood Wedding","French","Souheil Ben-Barka","Not nominated","E",NA,"","Blood Wedding","Noces de sang","Movie",7.3,80,1977,31,"No"
"Q62746","tt0076734","50-1978","Netherlands","Soldier of Orange","Dutch, English, German","Paul Verhoeven","Not nominated","E",NA,"","Soldier of Orange","Soldaat van Oranje","Movie",7.6,165,1977,13937,"No"
"Q4189116","tt0075730","50-1978","Poland","Camouflage","Polish","Krzysztof Zanussi","Not nominated","E",NA,"","Camouflage","Barwy ochronne","Movie",7.3,106,1977,1750,"No"
"Q760053","tt0075404","50-1978","Soviet Union","The Ascent","Russian","Larisa Shepitko","Not nominated","E",9,"2023-12-26","The Ascent","Voskhozhdenie","Movie",8.2,111,1977,10233,"Yes"
"Q1195466","tt0074857","50-1978","Sweden","The Man on the Roof","Swedish","Bo Widerberg","Not nominated","E",NA,"","Man on the Roof","Mannen på taket","Movie",7.3,112,1976,5040,"No"
"Q3050186","tt0076540","50-1978","Venezuela","The Fish That Smokes","Spanish","Román Chalbaud","Not nominated","E",NA,"","El pez que fuma","El pez que fuma","Movie",7,120,1977,238,"No"
"Q694781","tt0075675","50-1978","West Germany","The American Friend","German, English, French","Wim Wenders","Not nominated","E",9,"2024-04-09","The American Friend","Der amerikanische Freund","Movie",7.4,128,1977,18832,"Yes"
"Q1451544","tt0078122","51-1979","France","Get Out Your Handkerchiefs","French","Bertrand Blier","Won Academy Award","A",NA,"","Get Out Your Handkerchiefs","Préparez vos mouchoirs","Movie",7,108,1978,4323,"No"
"Q1476010","tt0077891","51-1979","Hungary","Hungarians","Hungarian","Zoltán Fábri","Nominated","B",NA,"","Hungarians","Magyarok","Movie",6.9,107,1978,369,"No"
"Q1635122","tt0078012","51-1979","Italy","Viva Italia!","Italian","Dino Risi, Ettore Scola and Mario Monicelli","Nominated","B",NA,"","Viva Italia!","I nuovi mostri","Movie",7,90,1977,2128,"No"
"Q1635046","tt0077222","51-1979","Soviet Union","White Bim Black Ear","Russian","Stanislav Rostotsky","Nominated","B",NA,"","White Bim Black Ear","Belyy Bim Chernoe ukho","Movie",8.1,182,1977,2460,"No"
"Q317062","tt0077615","51-1979","West Germany","The Glass Cell","German","Hans W. Geißendörfer","Nominated","B",NA,"","The Glass Cell","Die gläserne Zelle","Movie",6.7,93,1978,288,"No"
"Q7749231","tt0074804","51-1979","Brazil","The Lyre of Delight","Brazilian Portuguese","Walter Lima Jr.","Not nominated","E",NA,"","A Lira do Delírio","A Lira do Delírio","Movie",7,105,1978,156,"No"
"Q7759820","tt0078146","51-1979","Cuba","The Recourse to the Method / Viva el Presidente","Spanish","Miguel Littín","Not nominated","E",NA,"","El recurso del método","El recurso del método","Movie",6.1,164,1978,93,"No"
"Q354525","tt0075633","51-1979","Czechoslovakia","Dinner for Adele / Nick Carter in Prague","Czech","Oldřich Lipský","Not nominated","E",NA,"","Adela Has Not Had Supper Yet","Adéla jeste nevecerela","Movie",7.4,102,1978,2009,"No"
"Q6803029","tt0124002","51-1979","Denmark","Me and Charly","Danish","Morten Arnfred and Henning Kristiansen","Not nominated","E",NA,"","Mig og Charly","Mig og Charly","Movie",6.4,98,1978,470,"No"
"Q76582","tt0076696","51-1979","India","The Chess Players","Hindi, Urdu, English","Satyajit Ray","Not nominated","E",NA,"","The Chess Players","Shatranj Ke Khilari","Movie",7.5,129,1977,4092,"No"
"Q946157","tt0079118","51-1979","Israel","Lemon Popsicle","Hebrew","Boaz Davidson","Not nominated","E",NA,"","Lemon Popsicle","Eskimo Limon","Movie",6.4,95,1978,3731,"No"
"Q1659440","tt0077132","51-1979","Japan","Empire of Passion","Japanese","Nagisa Oshima","Not nominated","E",NA,"","Empire of Passion","Ai no bôrei","Movie",7,105,1978,5010,"No"
"Q17071444","tt1101669","51-1979","Kuwait","The Wedding of Zein","Arabic","Khalid Al Siddiq","Not nominated","E",NA,"","Urs Al-Zayn","Urs Al-Zayn","Movie",7,90,1976,22,"No"
"Q122480170","tt0337698","51-1979","Lebanon","Promise of Love","Armenian, English, French","Sarky Mouradian","Not nominated","E",NA,"","Promise of Love","Promise of Love","Movie",5.3,148,1978,32,"No"
"Q3008265","tt0076336","51-1979","Mexico","The Place Without Limits","Spanish","Arturo Ripstein","Not nominated","E",NA,"","The Place Without Limits","El lugar sin límites","Movie",7.5,110,1978,1669,"No"
"Q2796602","tt0078066","51-1979","Netherlands","Pastorale 1943","Dutch","Wim Verstappen","Not nominated","E",NA,"","Pastorale 1943","Pastorale 1943","Movie",6.8,125,1978,492,"No"
"Q5247582","tt0078283","51-1979","Poland","Death of a President","Polish","Jerzy Kawalerowicz","Not nominated","E",NA,"","Death of a President","Smierc prezydenta","Movie",7.3,144,1977,275,"No"
"Q18572139","tt0078298","51-1979","Spain","Somnambulists","Spanish","Manuel Gutiérrez Aragón","Not nominated","E",NA,"","Sonámbulos","Sonámbulos","Movie",5.1,96,1978,131,"No"
"Q2333181","tt0079659","51-1979","Yugoslavia","Occupation in 26 Pictures","Serbo-Croatian, Italian, German, Russian, French, Latin","Lordan Zafranović","Not nominated","E",NA,"","Occupation in 26 Pictures","Okupacija u 26 slika","Movie",7.4,116,1978,1061,"No"
"Q313764","tt0078875","52-1980","West Germany","The Tin Drum","German","Volker Schlöndorff","Won Academy Award","A",7,"2023-09-04","The Tin Drum","Die Blechtrommel","Movie",7.5,142,1980,25885,"Yes"
"Q1306717","tt0075975","52-1980","France","A Simple Story","French, English","Claude Sautet","Nominated","B",NA,"","A Simple Story","Une histoire simple","Movie",6.9,110,1978,1405,"No"
"Q961576","tt0079054","52-1980","Italy","To Forget Venice","Italian","Franco Brusati","Nominated","B",NA,"","To Forget Venice","Dimenticare Venezia","Movie",6.6,110,1979,395,"No"
"Q663047","tt0079696","52-1980","Poland","The Maids of Wilko","Polish","Andrzej Wajda","Nominated","B",NA,"","The Maids of Wilko","Panny z Wilka","Movie",7.4,118,1979,1465,"No"
"Q384243","tt0079517","52-1980","Spain","Mama Turns A Hundred","Spanish","Carlos Saura","Nominated","B",NA,"","Mama Turns 100","Mamá cumple 100 años","Movie",7.1,100,1979,1375,"No"
"Q7742670","tt0121408","52-1980","Argentina","The Island","Spanish","Alejandro Doria","Not nominated","E",NA,"","La isla","La isla","Movie",7.1,106,1979,53,"No"
"Q1517676","tt0079203","52-1980","Austria","Tales from the Vienna Woods","German","Maximilian Schell","Not nominated","E",NA,"","Tales from the Vienna Woods","Geschichten aus dem Wienerwald","Movie",6.7,90,1979,169,"No"
"Q727004","tt0080110","52-1980","Belgium","Woman in a Twilight Garden","Dutch","André Delvaux","Not nominated","E",NA,"","Een vrouw tussen hond en wolf","Een vrouw tussen hond en wolf","Movie",6.2,111,1979,331,"No"
"Q3183787","tt0171091","52-1980","Bulgaria","The Barrier","Bulgarian","Christo Christov","Not nominated","E",8,"2024-06-10","The Barrier","Barierata","Movie",7.4,114,1979,247,"Yes"
"Q3326141","tt0079581","52-1980","Canada","A Scream from Silence","French","Anne Claire Poirier","Not nominated","E",NA,"","A Scream from Silence","Mourir à tue-tête","Movie",7,96,1979,197,"No"
"Q31193148","tt0333058","52-1980","China","Effendi","Mandarin","Lang Xiao","Not nominated","E",NA,"","Afanti","Afanti","Movie",7.5,96,1979,25,"No"
"Q3499588","tt0077202","52-1980","Czechoslovakia","Those Wonderful Men With A Crank","Czech","Jiří Menzel","Not nominated","E",NA,"","Bájecní muzi s klikou","Bájecní muzi s klikou","Movie",6.7,90,1979,299,"No"
"Q12320243","tt0123928","52-1980","Denmark","Johnny Larsen","Danish","Morten Arnfred","Not nominated","E",NA,"","Johnny Larsen","Johnny Larsen","Movie",6.7,100,1979,269,"No"
"Q2060541","tt0077751","52-1980","Egypt","Alexandria... Why?","Arabic","Youssef Chahine","Not nominated","E",NA,"","Alexandria... Why?","Iskanderija... lih?","Movie",7.3,133,1979,2062,"No"
"Q377767","tt0192213","52-1980","Hong Kong","Raining in the Mountain","Mandarin","King Hu","Not nominated","E",NA,"","Raining in the Mountain","Kong shan ling yu","Movie",7.3,120,1979,1516,"No"
"Q2513476","tt0077165","52-1980","Hungary","Angi Vera","Hungarian","Pál Gábor","Not nominated","E",NA,"","Angi Vera","Angi Vera","Movie",7.1,96,1978,394,"No"
"Q14949809","tt0079787","52-1980","Israel","Moments","Hebrew, French","Michal Bat-Adam","Not nominated","E",NA,"","Moments","Moments de la vie d'une femme","Movie",6.4,92,1979,80,"No"
"Q952591","tt0477657","52-1980","Japan","Gassan","Japanese","Tetsutaro Murano","Not nominated","E",NA,"","Gassan","Gassan","Movie",NA,103,1979,0,"No"
"Q523260","tt0080109","52-1980","Netherlands","A Woman Like Eve","Dutch, English","Nouchka van Brakel","Not nominated","E",NA,"","A Woman Like Eve","Een vrouw als Eva","Movie",6.1,113,1979,518,"No"
"Q848825","tt0079679","52-1980","Soviet Union","Autumn Marathon","Russian","Georgiy Daneliya","Not nominated","E",NA,"","Autumn Marathon","Osenniy marafon","Movie",7.8,90,1979,3690,"No"
"Q1764335","tt0078784","52-1980","Sweden","A Respectable Life","Swedish","Stefan Jarl","Not nominated","E",NA,"","A Respectable Life","Ett anständigt liv","Movie",7.7,102,1979,1243,"No"
"Q384084","tt0078080","52-1980","Switzerland","Les petites fugues","French","Yves Yersin","Not nominated","E",NA,"","Les petites fugues","Les petites fugues","Movie",7.4,140,1979,422,"No"
"Q3506227","tt0169716","52-1980","Yugoslavia","The Man to Destroy","Serbo-Croatian","Veljko Bulajić","Not nominated","E",NA,"","The Man to Kill","Covjek koga treba ubiti","Movie",7,105,1979,332,"No"
"Q53105","tt0079579","53-1981","Soviet Union","Moscow Does Not Believe in Tears","Russian","Vladimir Menshov","Won Academy Award","A",7,"2023-09-23","Moscow Does Not Believe in Tears","Moskva slezam ne verit","Movie",8,150,1980,14390,"Yes"
"Q1049604","tt0080610","53-1981","France","The Last Metro","French","François Truffaut","Nominated","B",NA,"","The Last Metro","Le dernier métro","Movie",7.3,131,1980,15925,"No"
"Q601511","tt0078868","53-1981","Hungary","Confidence","Hungarian","István Szabó","Nominated","B",NA,"","Confidence","Bizalom","Movie",7.5,105,1980,1048,"No"
"Q854990","tt0080979","53-1981","Japan","Kagemusha","Japanese","Akira Kurosawa","Nominated","B",9,"2024-06-03","Kagemusha: The Shadow Warrior","Kagemusha","Movie",7.9,162,1980,38420,"Yes"
