"ItemTitle","IMDBid","Rating","Rated.Date"
"Boogie Nights","tt0118749","8","Rated on 29 Dec 2021"
"West Side Story","tt0055614","8","Rated on 29 Dec 2021"
"Cash on Demand","tt0054731","7","Rated on 29 Dec 2021"
"The Beguiled","tt5592248","4","Rated on 27 Dec 2021"
"Clickbait","tt10888878","6","Rated on 25 Dec 2021"
"Ernest Saves Christmas","tt0095107","4","Rated on 24 Dec 2021"
"The Little Drummer Boy","tt0063230","6","Rated on 24 Dec 2021"
"Happy Days","tt0070992","6","Rated on 24 Dec 2021"
"The Grinch","tt2709692","4","Rated on 24 Dec 2021"
"Lost Girls","tt3111426","5","Rated on 23 Dec 2021"
"Whiplash","tt2582802","9","Rated on 22 Dec 2021"
"Inside Llewyn Davis","tt2042568","5","Rated on 22 Dec 2021"
"Max","tt0290210","3","Rated on 22 Dec 2021"
"Swan Song","tt10832274","7","Rated on 22 Dec 2021"
"Christmas Is Canceled","tt15186426","3","Rated on 20 Dec 2021"
"The Bitch Who Stole Christmas","tt15800254","4","Rated on 20 Dec 2021"
"Zoey's Extraordinary Christmas","tt15388610","6","Rated on 20 Dec 2021"
"Magnetic Beats","tt14068864","6","Rated on 19 Dec 2021"
"A Forbidden Orange","tt15717468","6","Rated on 19 Dec 2021"
"Femme Fatale","tt0280665","5","Rated on 18 Dec 2021"
"Holiday Affair","tt0041473","6","Rated on 18 Dec 2021"
"Spider-Man: No Way Home","tt10872600","9","Rated on 17 Dec 2021"
"Silent Night","tt11628854","5","Rated on 17 Dec 2021"
"Encounter","tt12800524","4","Rated on 17 Dec 2021"
"Dear Christmas","tt12997976","4","Rated on 17 Dec 2021"
"A Clüsterfünke Christmas","tt14932820","5","Rated on 16 Dec 2021"
"Ron's Gone Wrong","tt7504818","6","Rated on 16 Dec 2021"
"Nightmare Alley","tt7740496","7","Rated on 16 Dec 2021"
"Secret Name","tt13846526","6","Rated on 15 Dec 2021"
"The Man with the Answers","tt9320140","7","Rated on 14 Dec 2021"
"Single All the Way","tt14315756","5","Rated on 13 Dec 2021"
"West Side Story","tt3581652","8","Rated on 11 Dec 2021"
"Great Freedom","tt14775784","8","Rated on 09 Dec 2021"
"Munich: The Edge of War","tt7475578","9","Rated on 09 Dec 2021"
"It Happened on Fifth Avenue","tt0039502","7","Rated on 08 Dec 2021"
"Christmas Cupid","tt1699746","3","Rated on 08 Dec 2021"
"A Very Nutty Christmas","tt8295976","3","Rated on 07 Dec 2021"
"Sabrina the Teenage Witch","tt0115341","3","Rated on 07 Dec 2021"
"A Trash Truck Christmas","tt13458584","5","Rated on 07 Dec 2021"
"The Snowman","tt0084701","7","Rated on 07 Dec 2021"
"Mickey's Christmas Carol","tt0085936","7","Rated on 07 Dec 2021"
"Christmas Catch","tt8322908","4","Rated on 07 Dec 2021"
"The Spirit of Christmas","tt4434688","5","Rated on 07 Dec 2021"
"A Merry Friggin' Christmas","tt0910885","1","Rated on 07 Dec 2021"
"Santa Inc.","tt12286260","1","Rated on 07 Dec 2021"
"Beltracchi: The Art of Forgery","tt3212568","7","Rated on 07 Dec 2021"
"Demolition Man","tt0106697","7","Rated on 06 Dec 2021"
"A Boy Called Christmas","tt10187208","6","Rated on 06 Dec 2021"
"My Dad's Christmas Date","tt11457736","4","Rated on 06 Dec 2021"
"The Power of the Dog","tt10293406","6","Rated on 05 Dec 2021"
"Mixtape","tt1587420","7","Rated on 05 Dec 2021"
"House of Gucci","tt11214590","2","Rated on 04 Dec 2021"
"King Richard","tt9620288","7","Rated on 03 Dec 2021"
"A Castle for Christmas","tt13070602","2","Rated on 03 Dec 2021"
"8-Bit Christmas","tt11540284","6","Rated on 03 Dec 2021"
"Flee","tt8430054","9","Rated on 02 Dec 2021"
"Christmas Vacation","tt0097958","6","Rated on 26 Nov 2021"
"Holiday in Handcuffs","tt0938666","2","Rated on 22 Nov 2021"
"Foundation","tt0804484","7","Rated on 22 Nov 2021"
"tick, tick... BOOM!","tt8721424","6","Rated on 21 Nov 2021"
"The Eyes of Tammy Faye","tt9115530","7","Rated on 20 Nov 2021"
"A Cop Movie","tt14035242","7","Rated on 20 Nov 2021"
"Gimme Shelter","tt0065780","9","Rated on 20 Nov 2021"
"The Freshman","tt0015841","9","Rated on 20 Nov 2021"
"Brigadoon","tt0046807","6","Rated on 19 Nov 2021"
"The Princess Switch 3","tt14731142","4","Rated on 19 Nov 2021"
"Charlie Is My Darling","tt0060231","7","Rated on 19 Nov 2021"
"Gods and Monsters","tt0120684","9","Rated on 18 Nov 2021"
"Benedetta","tt6823148","7","Rated on 18 Nov 2021"
"The Harvey Girls","tt0038589","6","Rated on 16 Nov 2021"
"Last Night in Soho","tt9639470","6","Rated on 16 Nov 2021"
"The City Without Jews","tt0016392","5","Rated on 15 Nov 2021"
"Red Notice","tt7991608","4","Rated on 14 Nov 2021"
"A Very Murray Christmas","tt4537842","3","Rated on 14 Nov 2021"
"Dance Dreams: Hot Chocolate Nutcracker","tt8741182","8","Rated on 14 Nov 2021"
"Free Rein: The Twelve Neighs of Christmas","tt9315418","5","Rated on 14 Nov 2021"
"Christmas Break-In","tt8244578","2","Rated on 14 Nov 2021"
"All I Want for Christmas","tt0101301","4","Rated on 14 Nov 2021"
"The Night Before","tt3530002","2","Rated on 14 Nov 2021"
"A Muppet Family Christmas","tt0251282","7","Rated on 14 Nov 2021"
"Surviving Christmas","tt0252028","2","Rated on 14 Nov 2021"
"Arthur Christmas","tt1430607","6","Rated on 14 Nov 2021"
"Belfast","tt12789558","6","Rated on 12 Nov 2021"
"Alice Doesn't Live Here Anymore","tt0071115","7","Rated on 11 Nov 2021"
"The Electrical Life of Louis Wain","tt10687506","6","Rated on 08 Nov 2021"
"The Discreet Charm of the Bourgeoisie","tt0068361","8","Rated on 08 Nov 2021"
"The Claus Family","tt12459520","6","Rated on 07 Nov 2021"
"Love Hard","tt10752004","6","Rated on 06 Nov 2021"
"Spencer","tt12536294","9","Rated on 06 Nov 2021"
"Hannah Gadsby: Nanette","tt8465676","8","Rated on 05 Nov 2021"
"The Jetsons","tt0055683","6","Rated on 05 Nov 2021"
"John Mulaney: The Comeback Kid","tt5069564","5","Rated on 05 Nov 2021"
"The Bullwinkle Show","tt0052507","5","Rated on 05 Nov 2021"
"Hey Arnold!","tt0115200","5","Rated on 05 Nov 2021"
"Waiting...","tt0348333","3","Rated on 05 Nov 2021"
"The Graham Norton Show","tt0924651","6","Rated on 05 Nov 2021"
"John Mulaney: Kid Gorgeous at Radio City","tt8271714","7","Rated on 05 Nov 2021"
"Wilfred","tt1703925","6","Rated on 05 Nov 2021"
"3rd Rock from the Sun","tt0115082","4","Rated on 05 Nov 2021"
"That '70s Show","tt0165598","5","Rated on 05 Nov 2021"
"Wet Hot American Summer: Ten Years Later","tt5669272","6","Rated on 05 Nov 2021"
"Wet Hot American Summer: First Day of Camp","tt4341500","6","Rated on 05 Nov 2021"
"At Home with Amy Sedaris","tt7552590","5","Rated on 05 Nov 2021"
"Party Down","tt1073507","4","Rated on 05 Nov 2021"
"Comedy Bang! Bang!","tt2176287","5","Rated on 05 Nov 2021"
"Strangers with Candy","tt0369994","5","Rated on 05 Nov 2021"
"Strangers with Candy","tt0194624","7","Rated on 05 Nov 2021"
"The Kids in the Hall","tt0096626","8","Rated on 05 Nov 2021"
"Upright Citizens Brigade","tt0167739","7","Rated on 05 Nov 2021"
"Key and Peele","tt1981558","6","Rated on 05 Nov 2021"
"Jeopardy!","tt0159881","6","Rated on 05 Nov 2021"
"Conan O'Brien Can't Stop","tt1864288","6","Rated on 05 Nov 2021"
"Saturday Night Live","tt0072562","6","Rated on 05 Nov 2021"
"The Colbert Report","tt0458254","8","Rated on 05 Nov 2021"
"Late Night with Conan O'Brien","tt0106052","7","Rated on 05 Nov 2021"
"The Carol Burnett Show","tt0061240","8","Rated on 05 Nov 2021"
"The Addams Family","tt0057729","7","Rated on 05 Nov 2021"
"Bewitched","tt0057733","6","Rated on 05 Nov 2021"
"The Munsters","tt0057773","5","Rated on 05 Nov 2021"
"I Dream of Jeannie","tt0058815","4","Rated on 05 Nov 2021"
"I Love Lucy","tt0043208","8","Rated on 05 Nov 2021"
"The All New Mickey Mouse Club","tt0096641","5","Rated on 05 Nov 2021"
"Roundhouse","tt0103530","6","Rated on 05 Nov 2021"
"All That","tt0111875","6","Rated on 05 Nov 2021"
"Legends of the Hidden Temple","tt0310482","6","Rated on 05 Nov 2021"
"Clarissa Explains It All","tt0101065","5","Rated on 05 Nov 2021"
"The Secret World of Alex Mack","tt0108921","7","Rated on 05 Nov 2021"
"The Adventures of Pete & Pete","tt0105933","6","Rated on 05 Nov 2021"
"The Chestnut Man","tt10834220","7","Rated on 05 Nov 2021"
"Singin' in the Rain","tt0045152","6","Rated on 04 Nov 2021"
"Anchors Aweigh","tt0037514","6","Rated on 03 Nov 2021"
"Some Kind of Wonderful","tt0094006","6","Rated on 03 Nov 2021"
"Suspiria","tt0076786","8","Rated on 03 Nov 2021"
"The Naked City","tt0040636","9","Rated on 01 Nov 2021"
"Separate Tables","tt0052182","8","Rated on 01 Nov 2021"
"Elvira: Mistress of the Dark","tt0095088","6","Rated on 01 Nov 2021"
"Independence Day: Resurgence","tt1628841","2","Rated on 31 Oct 2021"
"Still of the Night","tt0084732","5","Rated on 31 Oct 2021"
"City That Never Sleeps","tt0045631","5","Rated on 29 Oct 2021"
"The French Dispatch","tt8847712","8","Rated on 29 Oct 2021"
"Riot in Cell Block 11","tt0047417","9","Rated on 28 Oct 2021"
"The Asphalt Jungle","tt0042208","7","Rated on 28 Oct 2021"
"In Search of the Sanderson Sisters: A Hocus Pocus Hulaween Takeover","tt13346648","5","Rated on 27 Oct 2021"
"Moonrise","tt0040607","7","Rated on 27 Oct 2021"
"Desert Fury","tt0039311","5","Rated on 26 Oct 2021"
"High Tide","tt0039463","6","Rated on 25 Oct 2021"
"The Sound of Fury","tt0043075","8","Rated on 24 Oct 2021"
"Side Street","tt0042960","7","Rated on 24 Oct 2021"
"The Story of Molly X","tt0041922","5","Rated on 24 Oct 2021"
"The Chase","tt0038409","6","Rated on 24 Oct 2021"
"Gun Crazy","tt0042530","8","Rated on 24 Oct 2021"
"Sorry, Wrong Number","tt0040823","9","Rated on 23 Oct 2021"
"Dune","tt1160419","8","Rated on 23 Oct 2021"
"The Killers","tt0038669","7","Rated on 22 Oct 2021"
"A Double Life","tt0039335","7","Rated on 22 Oct 2021"
"Naked Alibi","tt0047263","4","Rated on 20 Oct 2021"
"The Velvet Underground","tt7230750","8","Rated on 20 Oct 2021"
"Somewhere in the Night","tt0038965","7","Rated on 18 Oct 2021"
"Road House","tt0040740","8","Rated on 17 Oct 2021"
"The Velvet Touch","tt0040934","9","Rated on 17 Oct 2021"
"Armored Car Robbery","tt0042206","6","Rated on 17 Oct 2021"
"Inherit the Wind","tt0053946","8","Rated on 17 Oct 2021"
"Arthur","tt0082031","7","Rated on 17 Oct 2021"
"Layer Cake","tt0375912","6","Rated on 17 Oct 2021"
"Tequila Sunrise","tt0096244","6","Rated on 17 Oct 2021"
"The Tailor of Panama","tt0236784","5","Rated on 17 Oct 2021"
"An Officer and a Gentleman","tt0084434","6","Rated on 17 Oct 2021"
"The Devil Thumbs a Ride","tt0039317","8","Rated on 17 Oct 2021"
"Fly-By-Night","tt0034740","4","Rated on 17 Oct 2021"
"Shakedown","tt0042953","6","Rated on 16 Oct 2021"
"Jealousy","tt0037829","6","Rated on 16 Oct 2021"
"I Walk Alone","tt0039482","6","Rated on 16 Oct 2021"
"Force of Evil","tt0040366","9","Rated on 16 Oct 2021"
"The Killer That Stalked New York","tt0042643","8","Rated on 15 Oct 2021"
"Son of Rambow","tt0845046","6","Rated on 14 Oct 2021"
"A Man for All Seasons","tt0060665","8","Rated on 14 Oct 2021"
"Platoon","tt0091763","7","Rated on 14 Oct 2021"
"JFK","tt0102138","6","Rated on 14 Oct 2021"
"Chariots of Fire","tt0082158","7","Rated on 14 Oct 2021"
"Beverly Hills Cop II","tt0092644","6","Rated on 14 Oct 2021"
"Beverly Hills Cop","tt0086960","6","Rated on 14 Oct 2021"
"Rocky Balboa","tt0479143","6","Rated on 14 Oct 2021"
"Rocky IV","tt0089927","6","Rated on 14 Oct 2021"
"Ghostbusters II","tt0097428","5","Rated on 14 Oct 2021"
"Rocky III","tt0084602","6","Rated on 14 Oct 2021"
"Rocky II","tt0079817","6","Rated on 14 Oct 2021"
"Never Say Never Again","tt0086006","6","Rated on 14 Oct 2021"
"Octopussy","tt0086034","6","Rated on 14 Oct 2021"
"The Living Daylights","tt0093428","7","Rated on 14 Oct 2021"
"A View to a Kill","tt0090264","5","Rated on 14 Oct 2021"
"For Your Eyes Only","tt0082398","6","Rated on 14 Oct 2021"
"The Man with the Golden Gun","tt0071807","6","Rated on 14 Oct 2021"
"Live and Let Die","tt0070328","6","Rated on 14 Oct 2021"
"The Andromeda Strain","tt0066769","6","Rated on 14 Oct 2021"
"The Spy Who Loved Me","tt0076752","6","Rated on 14 Oct 2021"
"Martin","tt0077914","6","Rated on 14 Oct 2021"
"Diamonds Are Forever","tt0066995","6","Rated on 14 Oct 2021"
"On Her Majesty's Secret Service","tt0064757","5","Rated on 14 Oct 2021"
"He Walked by Night","tt0040427","7","Rated on 14 Oct 2021"
"Blade","tt0120611","6","Rated on 13 Oct 2021"
"Never Weaken","tt0012499","7","Rated on 13 Oct 2021"
"Scarlet Street","tt0038057","6","Rated on 13 Oct 2021"
"Society","tt0098354","6","Rated on 11 Oct 2021"
"Possession","tt0082933","8","Rated on 11 Oct 2021"
"Titane","tt10944760","7","Rated on 11 Oct 2021"
"Lamb","tt9812474","6","Rated on 10 Oct 2021"
"Giant Little Ones","tt4481066","9","Rated on 10 Oct 2021"
"Out of My League","tt11154906","6","Rated on 09 Oct 2021"
"Nahuel and the Magic Book","tt9881630","8","Rated on 09 Oct 2021"
"No Time to Die","tt2382320","8","Rated on 07 Oct 2021"
"Beastie Boys Story","tt11615290","7","Rated on 06 Oct 2021"
"The Tenant","tt0074811","6","Rated on 05 Oct 2021"
"Lions for Lambs","tt0891527","4","Rated on 05 Oct 2021"
"Pollock","tt0183659","5","Rated on 05 Oct 2021"
"Eraserhead","tt0074486","6","Rated on 05 Oct 2021"
"The Neon Demon","tt1974419","4","Rated on 04 Oct 2021"
"Firestarter","tt0087262","6","Rated on 04 Oct 2021"
"Beautiful Creatures","tt1559547","4","Rated on 04 Oct 2021"
"Admission","tt1814621","3","Rated on 03 Oct 2021"
"Careful What You Wish For","tt1629242","3","Rated on 03 Oct 2021"
"Permission","tt5390066","5","Rated on 03 Oct 2021"
"I'm Your Man","tt13087796","7","Rated on 03 Oct 2021"
"Blush","tt14460998","7","Rated on 02 Oct 2021"
"Kwaidan","tt0058279","8","Rated on 02 Oct 2021"
"The Testament of Dr. Mabuse","tt0023563","9","Rated on 02 Oct 2021"
"The Evil Dead","tt0083907","5","Rated on 02 Oct 2021"
"Torn Curtain","tt0061107","6","Rated on 02 Oct 2021"
"Family Plot","tt0074512","6","Rated on 02 Oct 2021"
"Suspicion","tt0034248","8","Rated on 02 Oct 2021"
"Marnie","tt0058329","7","Rated on 02 Oct 2021"
"The Man Who Knew Too Much","tt0049470","7","Rated on 02 Oct 2021"
"Drag Me to Hell","tt1127180","6","Rated on 02 Oct 2021"
"Child's Play","tt0094862","5","Rated on 02 Oct 2021"
"The Trouble with Harry","tt0048750","5","Rated on 02 Oct 2021"
"Breathless","tt0053472","8","Rated on 01 Oct 2021"
"Little Shop of Horrors","tt0091419","5","Rated on 29 Sep 2021"
"The Boy Who Could Fly","tt0090768","5","Rated on 29 Sep 2021"
"The Starling","tt5164438","4","Rated on 28 Sep 2021"
"Dear Evan Hansen","tt9357050","4","Rated on 28 Sep 2021"
"The Devil to Pay","tt7631568","6","Rated on 27 Sep 2021"
"The Hunger","tt0085701","5","Rated on 27 Sep 2021"
"The Outsiders","tt0086066","7","Rated on 26 Sep 2021"
"All the Right Moves","tt0085154","5","Rated on 26 Sep 2021"
"The Cowboy and the Lady","tt0030018","4","Rated on 21 Sep 2021"
"Art and Craft","tt3654964","7","Rated on 21 Sep 2021"
"Clueless","tt0112697","8","Rated on 21 Sep 2021"
"The Thing","tt0084787","8","Rated on 21 Sep 2021"
"Labyrinth","tt0091369","7","Rated on 21 Sep 2021"
"The Man Who Knew Too Much","tt0025452","6","Rated on 20 Sep 2021"
"National Lampoon's Animal House","tt0077975","6","Rated on 20 Sep 2021"
"Gigi","tt0051658","6","Rated on 20 Sep 2021"
"The Loneliness of the Long Distance Runner","tt0056194","6","Rated on 20 Sep 2021"
"Valley Girl","tt0086525","7","Rated on 19 Sep 2021"
"South Park: Bigger, Longer & Uncut","tt0158983","4","Rated on 19 Sep 2021"
"Spies Like Us","tt0090056","6","Rated on 19 Sep 2021"
"The Muppet Show","tt0074028","8","Rated on 19 Sep 2021"
"Annie","tt0083564","5","Rated on 19 Sep 2021"
"Fantasia 2000","tt0120910","5","Rated on 19 Sep 2021"
"Bedknobs and Broomsticks","tt0066817","6","Rated on 19 Sep 2021"
"Muppets Most Wanted","tt2281587","2","Rated on 19 Sep 2021"
"The Muppets Take Manhattan","tt0087755","5","Rated on 19 Sep 2021"
"The Great Muppet Caper","tt0082474","7","Rated on 19 Sep 2021"
"Get Shorty","tt0113161","6","Rated on 19 Sep 2021"
"Enchanted","tt0461770","6","Rated on 19 Sep 2021"
"Mad Max Beyond Thunderdome","tt0089530","5","Rated on 19 Sep 2021"
"The Muppet Movie","tt0079588","6","Rated on 19 Sep 2021"
"Funny People","tt1201167","5","Rated on 19 Sep 2021"
"Help!","tt0059260","6","Rated on 19 Sep 2021"
"Hairspray","tt0095270","6","Rated on 19 Sep 2021"
"The Hustler","tt0054997","6","Rated on 19 Sep 2021"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012","8","Rated on 19 Sep 2021"
"Greed","tt8972256","3","Rated on 19 Sep 2021"
"The Mexican","tt0236493","4","Rated on 18 Sep 2021"
"The Boat That Rocked","tt1131729","6","Rated on 18 Sep 2021"
"The Bucket List","tt0825232","5","Rated on 18 Sep 2021"
"Pee-wee's Big Adventure","tt0089791","6","Rated on 18 Sep 2021"
"The Meyerowitz Stories","tt5536736","5","Rated on 18 Sep 2021"
"The Cat in the Hat","tt0312528","2","Rated on 18 Sep 2021"
"Shallow Hal","tt0256380","4","Rated on 18 Sep 2021"
"Chasing Amy","tt0118842","5","Rated on 18 Sep 2021"
"The Road to El Dorado","tt0138749","3","Rated on 18 Sep 2021"
"28 Days","tt0191754","4","Rated on 18 Sep 2021"
"Sahara","tt0318649","4","Rated on 18 Sep 2021"
"Bad Moms","tt4651520","2","Rated on 18 Sep 2021"
"Sunday in New York","tt0057543","4","Rated on 18 Sep 2021"
"How to Be Single","tt1292566","2","Rated on 18 Sep 2021"
"Legally Blonde 2: Red, White & Blonde","tt0333780","2","Rated on 18 Sep 2021"
"National Lampoon's Van Wilder","tt0283111","2","Rated on 18 Sep 2021"
"Matchstick Men","tt0325805","6","Rated on 18 Sep 2021"
"102 Dalmatians","tt0211181","2","Rated on 18 Sep 2021"
"The Rules of Attraction","tt0292644","3","Rated on 18 Sep 2021"
"Anger Management","tt0305224","2","Rated on 18 Sep 2021"
"The Break-Up","tt0452594","2","Rated on 18 Sep 2021"
"Dirty Grandpa","tt1860213","1","Rated on 18 Sep 2021"
"Trainwreck","tt3152624","6","Rated on 18 Sep 2021"
"Teeth","tt0780622","7","Rated on 18 Sep 2021"
"The Family","tt2404311","2","Rated on 18 Sep 2021"
"This Is Where I Leave You","tt1371150","7","Rated on 18 Sep 2021"
"Due Date","tt1231583","5","Rated on 18 Sep 2021"
"Nurse Betty","tt0171580","4","Rated on 18 Sep 2021"
"The Little Hours","tt5666304","3","Rated on 18 Sep 2021"
"Kiss Kiss Bang Bang","tt0373469","8","Rated on 18 Sep 2021"
"Rock of Ages","tt1336608","4","Rated on 18 Sep 2021"
"Corvette Summer","tt0077372","5","Rated on 18 Sep 2021"
"Sex and the City 2","tt1261945","4","Rated on 18 Sep 2021"
"The Hustle","tt1298644","1","Rated on 18 Sep 2021"
"The Princess and the Frog","tt0780521","6","Rated on 18 Sep 2021"
"Crocodile Dundee II","tt0092493","3","Rated on 18 Sep 2021"
"Long Shot","tt2139881","3","Rated on 18 Sep 2021"
"Mother's Day","tt4824302","1","Rated on 18 Sep 2021"
"Instant Family","tt7401588","6","Rated on 18 Sep 2021"
"Wild Mountain Thyme","tt6842770","2","Rated on 18 Sep 2021"
"Walk of Shame","tt2463288","2","Rated on 18 Sep 2021"
"Coming to America","tt0094898","6","Rated on 18 Sep 2021"
"Spy","tt3079380","1","Rated on 18 Sep 2021"
"Casino Royale","tt0061452","4","Rated on 18 Sep 2021"
"Planet of the Apes","tt0133152","3","Rated on 18 Sep 2021"
"Escape from New York","tt0082340","8","Rated on 18 Sep 2021"
"Never Gonna Snow Again","tt9526784","6","Rated on 18 Sep 2021"
"Team America: World Police","tt0372588","3","Rated on 17 Sep 2021"
"Evangelion: 3.0 You Can (Not) Redo","tt0860907","5","Rated on 17 Sep 2021"
"Evangelion: 2.0 You Can (Not) Advance","tt0860906","7","Rated on 17 Sep 2021"
"Evangelion: 1.0 You Are (Not) Alone","tt0923811","6","Rated on 17 Sep 2021"
"Kiki's Delivery Service","tt0097814","7","Rated on 17 Sep 2021"
"My Neighbor Totoro","tt0096283","8","Rated on 17 Sep 2021"
"Neon Genesis Evangelion","tt0112159","7","Rated on 17 Sep 2021"
"The Addams Family","tt1620981","6","Rated on 17 Sep 2021"
"The Iron Giant","tt0129167","6","Rated on 17 Sep 2021"
"The Haunted Mansion","tt0338094","2","Rated on 17 Sep 2021"
"Pet Sematary","tt0098084","5","Rated on 17 Sep 2021"
"Maze Runner: The Death Cure","tt4500922","4","Rated on 17 Sep 2021"
"Footloose","tt1068242","4","Rated on 17 Sep 2021"
"Top Secret!","tt0088286","4","Rated on 17 Sep 2021"
"The Bodyguard","tt0103855","5","Rated on 17 Sep 2021"
"Black Snake Moan","tt0462200","4","Rated on 17 Sep 2021"
"Pitch Perfect 3","tt4765284","3","Rated on 17 Sep 2021"
"Coyote Ugly","tt0200550","4","Rated on 17 Sep 2021"
"Bonnie and Clyde","tt0061418","8","Rated on 17 Sep 2021"
"I Am Trying to Break Your Heart","tt0327920","5","Rated on 17 Sep 2021"
"The Tickle King","tt6595908","7","Rated on 17 Sep 2021"
"Elephant","tt0363589","6","Rated on 17 Sep 2021"
"The Punk Singer","tt1785612","8","Rated on 17 Sep 2021"
"Stanley Kubrick: A Life in Pictures","tt0278736","6","Rated on 17 Sep 2021"
"Good Bye Lenin!","tt0301357","5","Rated on 17 Sep 2021"
"Kinsey","tt0362269","6","Rated on 17 Sep 2021"
"Nosferatu","tt0013442","8","Rated on 17 Sep 2021"
"Coffee and Cigarettes","tt0379217","5","Rated on 17 Sep 2021"
"Maria Full of Grace","tt0390221","7","Rated on 17 Sep 2021"
"Nanook of the North","tt0013427","7","Rated on 17 Sep 2021"
"Susie Q","tt0117794","4","Rated on 16 Sep 2021"
"High School Musical 2","tt0810900","5","Rated on 16 Sep 2021"
"High School Musical","tt0475293","4","Rated on 16 Sep 2021"
"Johnny Tsunami","tt0206064","6","Rated on 16 Sep 2021"
"Zenon: Girl of the 21st Century","tt0186726","5","Rated on 16 Sep 2021"
"Mad Hot Ballroom","tt0438205","8","Rated on 16 Sep 2021"
"The Weather Underground","tt0343168","7","Rated on 16 Sep 2021"
"Sound City","tt2306745","8","Rated on 16 Sep 2021"
"Murderball","tt0436613","7","Rated on 16 Sep 2021"
"The Bee Gees: How Can You Mend a Broken Heart","tt9850386","7","Rated on 16 Sep 2021"
"Out of Africa","tt0089755","5","Rated on 16 Sep 2021"
"The Tree of Life","tt0478304","5","Rated on 16 Sep 2021"
"Gandhi","tt0083987","6","Rated on 16 Sep 2021"
"The Ring","tt0298130","5","Rated on 16 Sep 2021"
"The Bridge on the River Kwai","tt0050212","7","Rated on 16 Sep 2021"
"Weekend at Bernie's","tt0098627","4","Rated on 16 Sep 2021"
"A Nightmare on Elm Street 2: Freddy's Revenge","tt0089686","6","Rated on 16 Sep 2021"
"Only Murders in the Building","tt12851524","9","Rated on 16 Sep 2021"
"Song to Song","tt2062700","3","Rated on 16 Sep 2021"
"Before Midnight","tt2209418","4","Rated on 16 Sep 2021"
"Across the Universe","tt0445922","5","Rated on 16 Sep 2021"
"Roger & Me","tt0098213","6","Rated on 16 Sep 2021"
"Guess Who's Coming to Dinner","tt0061735","8","Rated on 16 Sep 2021"
"Everybody's Talking About Jamie","tt8635092","6","Rated on 11 Sep 2021"
"The Voyeurs","tt11235772","4","Rated on 11 Sep 2021"
"Come from Away","tt7638556","9","Rated on 11 Sep 2021"
"Le Cercle Rouge","tt0065531","8","Rated on 10 Sep 2021"
"Center Stage: Turn It Up","tt1145144","2","Rated on 09 Sep 2021"
"F for Fake","tt0072962","7","Rated on 08 Sep 2021"
"Nine Perfect Strangers","tt8760932","6","Rated on 08 Sep 2021"
"Q-Force","tt10140028","4","Rated on 08 Sep 2021"
"The Lost Leonardo","tt11225756","7","Rated on 06 Sep 2021"
"Summer Days, Summer Nights","tt7026270","6","Rated on 06 Sep 2021"
"Portlandia","tt1780441","5","Rated on 03 Sep 2021"
"Poltergeist","tt0084516","7","Rated on 03 Sep 2021"
"Cinderella","tt10155932","3","Rated on 03 Sep 2021"
"Can You Bring It: Bill T. Jones and D-Man in the Waters","tt14551164","8","Rated on 01 Sep 2021"
"He's All That","tt4590256","3","Rated on 31 Aug 2021"
"Candyman","tt9347730","8","Rated on 31 Aug 2021"
"Cleopatra","tt0056937","7","Rated on 22 Aug 2021"
"The Chair","tt11834150","9","Rated on 21 Aug 2021"
"CODA","tt10366460","9","Rated on 21 Aug 2021"
"Religulous","tt0815241","5","Rated on 20 Aug 2021"
"Dick Johnson Is Dead","tt11394180","8","Rated on 20 Aug 2021"
"Jeffrey Epstein: Filthy Rich","tt12312250","5","Rated on 20 Aug 2021"
"Weiner","tt5278596","7","Rated on 20 Aug 2021"
"Spellbound","tt0334405","6","Rated on 20 Aug 2021"
"Frank","tt1605717","6","Rated on 20 Aug 2021"
"Fahrenheit 9/11","tt0361596","6","Rated on 20 Aug 2021"
"Kajillionaire","tt8143990","3","Rated on 20 Aug 2021"
"Hunger","tt0986233","8","Rated on 20 Aug 2021"
"Game Night","tt2704998","3","Rated on 20 Aug 2021"
"Good Boys","tt6977338","4","Rated on 20 Aug 2021"
"Super Size Me","tt0390521","7","Rated on 20 Aug 2021"
"Tickled","tt5278506","7","Rated on 20 Aug 2021"
"Bad Times at the El Royale","tt6628394","5","Rated on 20 Aug 2021"
"Jesus Camp","tt0486358","7","Rated on 20 Aug 2021"
"O Brother, Where Art Thou?","tt0190590","6","Rated on 20 Aug 2021"
"Thirteen","tt0328538","6","Rated on 20 Aug 2021"
"Punch-Drunk Love","tt0272338","5","Rated on 20 Aug 2021"
"Suspiria","tt1034415","6","Rated on 20 Aug 2021"
"RBG","tt7689964","6","Rated on 20 Aug 2021"
"The King of Staten Island","tt9686708","4","Rated on 20 Aug 2021"
"The Lighthouse","tt7984734","6","Rated on 20 Aug 2021"
"Heathers","tt0097493","6","Rated on 20 Aug 2021"
"The Edge of Seventeen","tt1878870","5","Rated on 20 Aug 2021"
"The Peanut Butter Falcon","tt4364194","7","Rated on 20 Aug 2021"
"Murder on the Orient Express","tt3402236","5","Rated on 20 Aug 2021"
"The Killing of a Sacred Deer","tt5715874","6","Rated on 20 Aug 2021"
"The Intern","tt2361509","5","Rated on 20 Aug 2021"
"The Wolf of Wall Street","tt0993846","6","Rated on 20 Aug 2021"
