"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"19-1947","tt0038975","The Spiral Staircase",1946,"Approved","83 min","Drama, Horror, Mystery","Robert Siodmak","Mel Dinelli, Ethel Lina White","Dorothy McGuire, George Brent, Ethel Barrymore","In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTZiNjQ3YzItMmRjOS00ZDRiLWFhZGEtMWQyZGM3ZTNmNTVjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.4","9,839","tt0038975","movie",NA,NA,NA,NA,"7.4/10",NA,"87%",NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0038978","Squatter's Rights",1946,"N/A","7 min","Animation, Comedy, Family","Jack Hannah, Clyde Geronimi","Harry Reeves","Dessie Flynn, James MacDonald, Pinto Colvig","Chip 'n Dale have set up house in the wood stove of Mickey's cabin. Pluto knows they are there, but Mickey only knows his matches keep going out when he tries to light a fire.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzI3MWRmZmItYjBhNi00YTYzLTgwYWQtZjg5MWI3YWQ5NmU5XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg","N/A","6.8","482","tt0038978","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0038984","A Stolen Life",1946,"Approved","109 min","Drama","Curtis Bernhardt","Catherine Turney, Margaret Buell Wilder, Karel J. Benes","Bette Davis, Glenn Ford, Dane Clark","When a woman's twin sister is drowned, she assumes her identity in order to be close to the man she feels her sister took from her years before.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTU0Zjc2NzItOWM2Mi00YmQ3LThkZjAtZWY3NzhmNGVlOWY2XkEyXkFqcGdeQXVyMTEwMjkxOTAy._V1_SX300.jpg","N/A","7.3","3,616","tt0038984","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0038988","The Strange Love of Martha Ivers",1946,"Unrated","116 min","Drama, Film-Noir, Romance","Lewis Milestone","Robert Rossen, John Patrick, Robert Riskin","Barbara Stanwyck, Van Heflin, Lizabeth Scott","A man is reunited with his childhood friend and her husband, who believe he knows the truth about the death of her rich aunt years earlier.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BZmJjMDIxMGUtZWM1NS00ZTg5LWI2NWQtNjUxZjc5MjI5OTc3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","7.4","9,479","tt0038988","movie",NA,NA,NA,NA,"7.4/10",NA,"100%",8,"2023-03-06",NA,NA,NA,NA,1,1,0
"19-1947","tt0038991","The Stranger",1946,"Passed","95 min","Crime, Drama, Film-Noir","Orson Welles","Anthony Veiller, Victor Trivas, Decla Dunning","Orson Welles, Edward G. Robinson, Loretta Young","An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.","English, Spanish, French","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTExMDAzMDM0NzZeQTJeQWpwZ15BbWU3MDk3ODIzNzQ@._V1_SX300.jpg","76","7.4","25,956","tt0038991","movie",NA,NA,NA,NA,"7.4/10","76/100","97%",7,"2023-05-04",NA,NA,NA,NA,1,1,0
"19-1947","tt0038998","Sure Cures",1946,"Approved","11 min","Short, Comedy","Dave O'Brien","Joe Ansen, Dave O'Brien","Pete Smith, Dave O'Brien, George Bruggeman","Documentary showing different ""home remedies"" for various ills.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDEwNTJlNzctZDRhZC00ZTRhLWE4NWQtYmExZDdhYWJmMTBkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzAyNTQ1Mzk@._V1_SX300.jpg","N/A","5.7","155","tt0038998","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0039040","To Each His Own",1946,"Approved","122 min","Drama, Romance","Mitchell Leisen","Charles Brackett, Jacques Théry, Dodie Smith","Olivia de Havilland, John Lund, Mary Anderson","An unwed mother, forced to give up her child to avoid scandal, follows her son's life from afar even as she prospers in business.","English","United States","Won 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZWMxNTc4N2ItYWIzNi00NWIzLTg4ZTEtODc2NzI2MGRlYTdkXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","67","7.7","2,722","tt0039040","movie",NA,NA,NA,NA,"7.7/10","67/100","81%",NA,NA,NA,NA,NA,"Y",2,1,1
"19-1947","tt0039043","Traffic with the Devil",1946,"Approved","19 min","Short, Drama","Gunther von Fritsch","Herbert Morgan","Charles Reineke, Ben Hall, Ralph Montgomery","This ""Theater of Life"" series short looks at traffic problems in Los Angeles, California, as described and experienced by Sgt. Charles Reineke, a traffic enforcement officer with the Los Angeles Police Department.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOWJkOTllYzktZjk4Ny00ODAzLWI4Y2YtZDJmN2IyZjA1YzBlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","N/A","6.4","217","tt0039043","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0039093","Walky Talky Hawky",1946,"Approved","7 min","Animation, Family, Short","Robert McKimson","Warren Foster, George Hill","Mel Blanc","Young Henery Hawk's father regretfully admits their family's shame: they hunt and eat chickens. Henery set off to find one, and comes across Foghorn Leghorn, where the loudmouth rooster is engaged in his favorite pastime, playing tri","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTIzM2M2YzctMzM1ZC00MWNhLWExOTgtMjM0YTA4Mjk1YWZiXkEyXkFqcGdeQXVyNjc2NTQzMjU@._V1_SX300.jpg","N/A","7.5","794","tt0039093","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"19-1947","tt0039111","The Yearling",1946,"Approved","128 min","Drama, Family, Western","Clarence Brown","Paul Osborn, Marjorie Kinnan Rawlings, John Lee Mahin","Gregory Peck, Jane Wyman, Claude Jarman Jr.","A boy persuades his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?","English","United States","Won 2 Oscars. 3 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMjI0NjVhMDMtZTZmMy00MWYwLTkyMjQtMDEyMmVkYmJmOTQ5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","89","7.2","5,774","tt0039111","movie",NA,NA,NA,NA,"7.2/10","89/100","100%",6,"2023-08-14","Prime Rentals",NA,NA,NA,7,5,2
"19-1947","tt0039251","The Cat Concerto",1947,"Passed","8 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","William Hanna, Joseph Barbera","N/A","Tom Cat is a concert pianist who plays beautifully until he is interrupted by Jerry Mouse.","None","United States","Won 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTJiNWI3ZGMtZWM2MC00NTFkLTljZmYtODViNTI3OWJhODdjXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg","N/A","8.2","4,278","tt0039251","movie",NA,NA,NA,NA,"8.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"20-1948","tt0038574","Great Expectations",1946,"Approved","118 min","Adventure, Drama, Mystery","David Lean","Charles Dickens, David Lean, Ronald Neame","John Mills, Valerie Hobson, Tony Wager","A humble orphan boy in 1810s Kent is given the opportunity to go to London and become a gentleman, with the help of an unknown benefactor.","English","United Kingdom","Won 2 Oscars. 4 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BZjA1YTQ1NGItZDI0OS00MTFiLTg1NTUtOWViMTg0ZDA4MWMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","90","7.8","23,819","tt0038574","movie",NA,NA,NA,NA,"7.8/10","90/100","100%",NA,NA,NA,NA,NA,"Y",5,3,2
"20-1948","tt0038913","Shoeshine",1946,"Not Rated","87 min","Drama","Vittorio De Sica","Sergio Amidei, Adolfo Franci, Cesare Giulio Viola","Rinaldo Smordoni, Franco Interlenghi, Annielo Mele","Two shoeshine boys in postwar Rome, Italy save up to buy a horse, but their involvement as dupes in a burglary lands them in juvenile prison; the experience take a devastating toll on their friendship.","Italian, English","Italy","Won 1 Oscar. 3 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNzNmOTIzMzYtYjBhZS00NTBiLTgxNmQtZDUzMmI4ZmU1NWVhXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg","N/A","8.0","7,208","tt0038913","movie",NA,NA,NA,NA,"8.0/10",NA,"100%",NA,NA,"Prime Rentals",NA,NA,"Y",1,1,0
"20-1948","tt0038969","Song of the South",1946,"G","94 min","Animation, Comedy, Family","Harve Foster, Wilfred Jackson","Dalton S. Reymond, Morton Grant, Maurice Rapf","Ruth Warrick, Bobby Driscoll, James Baskett","The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.","English","United States","Won 2 Oscars. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTQxYWVjZDctNTM3MC00ZWVjLTk5ZmYtY2U0ZDBiNjlmOTBmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","54","7.1","13,550","tt0038969","movie",NA,NA,NA,NA,"7.1/10","54/100","53%",NA,NA,NA,NA,NA,"Y",2,1,1
"20-1948","tt0039038","The Time, the Place and the Girl",1946,"Approved","105 min","Musical, Comedy, Romance","David Butler","Francis Swann, Agnes Christine Johnston, Lynn Starling","Dennis Morgan, Martha Vickers, Jack Carson","The stuffy manager of lovely opera singer Vicki Cassel and her uncle, a classical conductor, is determined to close down the noisy nightclub that's next door to the Cassels' home. The club's owners--Steve, a handsome ladies man, Jeff","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDYzZGViNDUtMzYxNS00NWMwLWEwYTYtODE0MWRkMGIwNGI3XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg","N/A","6.0","294","tt0039038","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"20-1948","tt0039169","The Bachelor and the Bobby-Soxer",1947,"Approved","95 min","Comedy, Romance","Irving Reis","Sidney Sheldon","Cary Grant, Myrna Loy, Shirley Temple","A high school girl falls for a playboy artist, with screwball results.","English, French","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZGMyNDVkZmMtYmFlYi00NmQ0LWI3MjEtNWU1OTA3ZjM1MjZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","N/A","7.2","8,486","tt0039169","movie",NA,NA,NA,NA,"7.2/10",NA,"78%",NA,NA,NA,NA,NA,"Y",1,0,1
"20-1948","tt0039190","The Bishop's Wife",1947,"Not Rated","109 min","Comedy, Drama, Fantasy","Henry Koster","Robert E. Sherwood, Leonardo Bercovici, Robert Nathan","Cary Grant, Loretta Young, David Niven","A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.","English, French","United States","Won 1 Oscar. 1 win & 4 nominations total","https://m.media-amazon.com/images/M/MV5BNjU4ZTEwY2UtMDg2OS00YTgxLTlkZTQtY2M1ZGM1YTc0NWFmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","72","7.6","17,481","tt0039190","movie",NA,NA,NA,NA,"7.6/10","72/100","84%",8,"2023-07-06","Prime",NA,NA,NA,5,4,1
"20-1948","tt0039192","Black Narcissus",1947,"Not Rated","101 min","Drama","Michael Powell, Emeric Pressburger","Rumer Godden, Michael Powell, Emeric Pressburger","Deborah Kerr, David Farrar, Flora Robson","A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.","English","United Kingdom","Won 2 Oscars. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTcxYjE5MzQtMzg0OC00ZWViLTlhNTYtODUwOWViMjNhNDg3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","86","7.8","24,014","tt0039192","movie",NA,NA,NA,NA,"7.8/10","86/100","100%",6,"2022-05-22",NA,"Y",NA,NA,2,0,2
"20-1948","tt0039204","Body and Soul",1947,"Approved","104 min","Drama, Film-Noir, Sport","Robert Rossen","Abraham Polonsky","John Garfield, Lilli Palmer, Hazel Brooks","A talented boxer's young career hits difficult terrain when an unethical promoter takes interest in him.","English","United States","Won 1 Oscar. 1 win & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMWUwZjc3ODQtMzAxZi00ZmY0LTg2MGEtNGQxY2U5ZTc0YjJhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.6","4,786","tt0039204","movie",NA,NA,NA,NA,"7.6/10",NA,"92%",7,"2022-10-24",NA,"Y",NA,NA,3,2,1
"20-1948","tt0039208","Boomerang!",1947,"Not Rated","88 min","Crime, Drama, Film-Noir","Elia Kazan","Richard Murphy, Fulton Oursler","Dana Andrews, Jane Wyatt, Lee J. Cobb","The true story of a prosecutor's fight to prove the innocence of a man accused of a notorious murder.","English","United States","Nominated for 1 Oscar. 3 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BNjgzYjBkOWQtZWE0MS00MTViLTg3YjUtYTNjYTE1ZTNiY2ZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.2","4,384","tt0039208","movie",NA,NA,NA,NA,"7.2/10",NA,"76%",7,"2022-07-22",NA,"Y",NA,NA,1,1,0
"20-1948","tt0039221","Brooklyn, U.S.A.",1947,"N/A","10 min","Short","Arthur Cohen","Lawrence Bearson","Ted de Corsia","Narrated by Ted de Corsia, this documentary short tells the life of 1947 Brooklyn, New York, and Coney Island.","English","USA","N/A","N/A","N/A","4.8","5","tt0039221","movie",NA,NA,NA,NA,"4.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"20-1948","tt0039234","A Cage of Nightingales",1945,"N/A","89 min","Drama, Music","Jean Dréville","Georges Chaperot, Noël-Noël, René Wheeler","Noël-Noël, Micheline Francey, René Génin","In France, in 1930, a supervisor of a boarding school for young offenders seeks to awaken the music by forming a choir, despite the skepticism of his boarding school director.","French","France","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGEwZDUyZmQtZDUyZi00NGMwLTkwNzgtOTAyNWQzMTEyYTY1XkEyXkFqcGdeQXVyNzEwMzMxMTg@._V1_SX300.jpg","N/A","6.6","207","tt0039234","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039243","Captain from Castile",1947,"Passed","140 min","Adventure, Drama, History","Henry King","Lamar Trotti, Samuel Shellabarger, John Tucker Battle","Tyrone Power, Jean Peters, Cesar Romero","The invasion of Mexico by Cortez, as seen by a young Spanish officer fleeing the Inquisition.","English, Nahuatl","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYjgyYzM5NGUtMWQ1OS00MmUzLWIxNGUtNzMyOWYwMDFmMTkxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg","N/A","6.9","1,964","tt0039243","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039258","Champagne for Two",1947,"Approved","19 min","Short, Comedy, Musical","Mel Epstein","Billy Rose, Jack Roberts","Lita Baron, George Reeves, Griff Barnett","Nightclub boss Malone puts off his wedding anniversary trip because an old woman claims to have overheard plans to rob the nightclub. But the old woman, Mrs. Cowdy, has a scheme of her own.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDFmMjY2NGUtYWY2ZS00OTgwLTlmYzctMGQ0ZjcyM2YxZTliXkEyXkFqcGdeQXVyMTczODg0MDI@._V1_SX300.jpg","N/A","5.9","46","tt0039258","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039263","Chip an' Dale",1947,"Approved","7 min","Animation, Short, Comedy","Jack Hannah","Dick Kinney, Bob North","Dessie Flynn, James MacDonald, Clarence Nash","Donald needs a log for his fire. Unfortunately, the one he picks is occupied by a couple of chipmunks and their stash of acorns. When he cuts it down, Chip and Dale fall out, but their acorns stay behind, so they work at putting out","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2I1ZGM2ZGEtOGYyNC00ZGRjLThmZWEtNjEyMWE0OGJlMTUxXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg","N/A","7.4","1,601","tt0039263","movie",NA,NA,NA,NA,"7.4/10",NA,NA,7,"2022-05-08",NA,NA,NA,NA,1,1,0
"20-1948","tt0039267","Climbing the Matterhorn",1947,"N/A","21 min","Short, Documentary","Irving Allen","Max Trell (narration)","Warren Douglas","Iring Allen was filming High Conquest when he shot this short film. Locale villagers rescue a couple trapped om the mountain.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZTYxMjk4NTUtOWU5YS00MGM2LWI3OWQtMmI3Njg2Yzg4ZTNkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.0","8","tt0039267","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"20-1948","tt0039286","Crossfire",1947,"Approved","86 min","Crime, Drama, Film-Noir","Edward Dmytryk","John Paxton, Richard Brooks","Robert Young, Robert Mitchum, Robert Ryan","A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?","English","United States","Nominated for 5 Oscars. 3 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BZjM1ZmNmM2YtMzRhMS00N2EwLTg4ZGItNGJlYTA3ZDNhMzJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.3","8,349","tt0039286","movie",NA,NA,NA,NA,"7.3/10",NA,"82%",7,"2022-10-15","Prime Rentals","Y",NA,NA,5,5,0
"20-1948","tt0039335","A Double Life",1947,"Approved","104 min","Crime, Drama, Film-Noir","George Cukor","Ruth Gordon, Garson Kanin, William Shakespeare","Ronald Colman, Edmond O'Brien, Signe Hasso","A celebrated actor struggles to distinguish his own life from that of his most recent stage role, Othello.","English, Italian, Swedish","United States","Won 2 Oscars. 3 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BZTBkMGMzMGYtZDU5My00YjA0LTk4MzktYjAzNDMwMGU4MDY3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.0","3,412","tt0039335","movie",NA,NA,NA,NA,"7.0/10",NA,"75%",7,"2021-10-22",NA,"Y",NA,NA,4,2,2
"20-1948","tt0039338","Dr. Jekyll and Mr. Mouse",1947,"Approved","8 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","Robert Louis Stevenson","William Hanna","Tom, sick of Jerry stealing the milk out of his bowl, poisons it. Instead of killing the mouse, the potion transforms him into a muscular beast.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDgzZWE4MDUtMWFjOC00OGQwLThlYWQtOWRlNzRkMWU0ZjFiXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_SX300.jpg","N/A","7.9","1,703","tt0039338","movie",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039349","The Egg and I",1947,"Approved","108 min","Comedy, Romance","Chester Erskine","Betty MacDonald, Chester Erskine, Fred F. Finklehoffe","Claudette Colbert, Fred MacMurray, Marjorie Main","On their wedding night, Bob reveals to Betty that he has purchased an abandoned chicken farm. Betty struggles to adapt to their new rural lifestyle, especially when a glamorous neighbor seems to set her eyes on Bob.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDdjYTgzYzQtYjI0NS00NTIzLTlhNzktZmEwYjYyNGQzMjgwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","7.1","2,669","tt0039349","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039370","The Farmer's Daughter",1947,"Unrated","97 min","Comedy, Drama, Romance","H.C. Potter","Allen Rivkin, Laura Kerr, Hella Wuolijoki","Loretta Young, Joseph Cotten, Ethel Barrymore","After leaving her family's farm to study nursing in the city, a young woman finds herself on an unexpected path towards politics.","English, Swedish","United States","Won 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2FiNWFmYzYtNWRhOC00NDE1LThmZTYtZTViZWU4MmRjYjExXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.2","2,531","tt0039370","movie",NA,NA,NA,NA,"7.2/10",NA,"100%",NA,NA,NA,NA,NA,NA,2,1,1
"20-1948","tt0039377","Fiesta",1947,"Approved","104 min","Drama, Musical, Romance","Richard Thorpe","George Bruce, Lester Cole","Esther Williams, Akim Tamiroff, Ricardo Montalban","When a matador leaves town to focus on his music, his twin sister takes on his identity in the bullfighting ring.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjY4OTU3YzctOWZmNy00NGJjLTk1M2YtMjMwYTE0ZjU1ZWU1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","5.9","544","tt0039377","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039379","Fight of the Wild Stallions",1947,"N/A","20 min","Documentary, Short","N/A","Frank Kelley","Ben Grauer, Desert Dust, Roy Lamoureaux, Frank Robbins","N/A","English","USA","N/A","N/A","N/A","5.3","23","tt0039379","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039384","First Steps",1947,"N/A","10 min","Documentary, Short","Leo Seltzer","Al Wasserman","N/A","United Nations, 1947 - In this film one crippled child learns to walk: first to move, then to stand, and finally to take his first steps. The film deals with modern techniques of physiotherapy, and the need to develop the whole child","English","Canada","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZDAzNjgyODItYmVlNi00MzFmLWE5ZWEtNDUzNWE2MjQ4MDRjXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","58","tt0039384","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"20-1948","tt0039391","Forever Amber",1947,"Approved","138 min","Adventure, Drama, Romance","Otto Preminger, John M. Stahl","Philip Dunne, Ring Lardner Jr., Jerome Cady","Linda Darnell, Cornel Wilde, Richard Greene","In seventeenth-century England, Amber St. Clair aims to raise herself from country girl to nobility, and succeeds, but loses her true love in the process.","English, French, Italian","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTlkM2RmNzMtZTg0OC00YmQzLWI5OWEtYzc4ODRkNzllOGM3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","6.6","1,373","tt0039391","movie",NA,NA,NA,NA,"6.6/10",NA,"20%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039394","The Foxes of Harrow",1947,"Passed","117 min","Action, Drama, Romance","John M. Stahl","Frank Yerby, Wanda Tuchock, Thomas Job","Rex Harrison, Maureen O'Hara, Richard Haydn","In pre-Civil War New Orleans, Louisiana, roguish Irish gambler Stephen Fox (Sir Rex Harrison) buys his way into society, something he couldn't do in his homeland because he is illegitimate.","English, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDBiNmUxMmEtMGRkNS00NDM4LTg5YTQtNDY0Y2MzNjNiMDQ1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","6.6","508","tt0039394","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039416","Gentleman's Agreement",1947,"Not Rated","118 min","Drama, Romance","Elia Kazan","Laura Z. Hobson, Moss Hart, Elia Kazan","Gregory Peck, Dorothy McGuire, John Garfield","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.","English","United States","Won 3 Oscars. 12 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMTZhYWIxNmMtYzE2OS00YzljLWI2YTQtZTE0NDU5ZDQwZTc0L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.2","15,968","tt0039416","movie",NA,NA,NA,NA,"7.2/10",NA,"76%",NA,NA,NA,NA,NA,"Y",7,5,2
"20-1948","tt0039420","The Ghost and Mrs. Muir",1947,"Not Rated","104 min","Comedy, Drama, Fantasy","Joseph L. Mankiewicz","Philip Dunne, R.A. Dick","Gene Tierney, Rex Harrison, George Sanders","In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzYxMjIyMmYtMDI2OS00YTgyLWExZWMtODdkZTk1NzRlODgzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","N/A","7.9","18,259","tt0039420","movie",NA,NA,NA,NA,"7.9/10",NA,"100%",5,"2021-07-09",NA,NA,NA,NA,1,1,0
"20-1948","tt0039425","Give Us the Earth!",1947,"Passed","21 min","Documentary, Short","Gunther von Fritsch","Herbert Morgan","Emily Hatch, Spencer Hatch","This ""Theater of Life"" documentary was produced in cooperation with the International Committee, YMCA. It focuses on the work of Dr. Spencer Hatch, as he shows residents of small Mexican villages how to make their land better able to","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODFmZWRiZmItY2I1ZC00MjI1LTg4YmYtNWIyYzcyMjg3YjNkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","109","tt0039425","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
