"AwardCeremony","FilmID","FilmName","Your.Rating","IMDb.Rating","Num.Votes","Nominations","Losses","Wins"
"18-1946","tt0037954","Objective, Burma!",NA,7.3,5430,3,3,0
"18-1946","tt0037972","Paris Underground",NA,6.6,303,1,1,0
"18-1946","tt0037988","The Picture of Dorian Gray",7,7.5,14190,3,2,1
"18-1946","tt0037994","The Poet & Peasant",4,5.8,176,1,1,0
"18-1946","tt0038000","Pride of the Marines",NA,7.2,1618,1,1,0
"18-1946","tt0038011","Quiet Please!",8,7.7,2209,1,0,1
"18-1946","tt0038026","Rhapsody in Blue",NA,7,1749,2,2,0
"18-1946","tt0038028","Rippling Romance",NA,5.6,19,1,1,0
"18-1946","tt0038047","Salty O'Rourke",NA,6.3,268,1,1,0
"18-1946","tt0038048","San Antonio",NA,6.3,1790,2,2,0
"18-1946","tt0038059","Screen Snapshots Series 25, No. 1: 25th Anniversary",NA,6.1,30,1,1,0
"18-1946","tt0038091","Sing Your Way Home",NA,4.9,241,1,1,0
"18-1946","tt0038104","A Song to Remember",NA,6.6,1593,6,6,0
"18-1946","tt0038107","The Southerner",NA,7.1,3772,3,3,0
"18-1946","tt0038108","The Spanish Main",NA,6.3,1849,1,1,0
"18-1946","tt0038109","Spellbound",6,7.5,51400,6,5,1
"18-1946","tt0038114","Stairway to Light",NA,6.2,249,1,0,1
"18-1946","tt0038115","Star in the Night",5,7.7,1190,1,0,1
"18-1946","tt0038116","State Fair",NA,7,4435,2,1,1
"18-1946","tt0038120","Story of G.I. Joe",NA,7.2,3563,4,4,0
"18-1946","tt0038121","Story of a Dog",NA,6.2,142,1,1,0
"18-1946","tt0038135","Sunbonnet Sue",NA,6,52,1,1,0
"18-1946","tt0038160","They Were Expendable",NA,7.2,9130,2,2,0
"18-1946","tt0038162","This Love of Ours",NA,5.7,153,1,1,0
"18-1946","tt0038165","A Thousand and One Nights",NA,6.1,680,2,2,0
"18-1946","tt0038166","The Three Caballeros",NA,6.3,15277,2,2,0
"18-1946","tt0038175","To the Shores of Iwo Jima",7,6.5,166,1,1,0
"18-1946","tt0038178","Tonight and Every Night",NA,6.2,1074,2,2,0
"18-1946","tt0038190","A Tree Grows in Brooklyn",NA,8,8291,2,1,1
"18-1946","tt0038192","The True Glory",NA,7,612,1,0,1
"18-1946","tt0038205","The Unseen",NA,5.9,573,1,1,0
"18-1946","tt0038213","The Valley of Decision",NA,7.3,2307,2,2,0
"18-1946","tt0038243","What Next, Corporal Hargrove?",NA,5.7,289,1,1,0
"18-1946","tt0038247","White Rhapsody",NA,5,18,1,1,0
"18-1946","tt0038249","Why Girls Leave Home",NA,5.2,70,2,2,0
"18-1946","tt0038260","Wonder Man",5,6.8,2449,4,3,1
"18-1946","tt0038265","Your National Gallery",NA,NA,NA,1,1,0
"19-1947","tt0036868","The Best Years of Our Lives",9,8.1,69236,8,1,7
"19-1947","tt0036910","Henry V",6,7,6954,4,4,0
"19-1947","tt0037558","Brief Encounter",7,8,43318,3,3,0
"19-1947","tt0037651","The Dolly Sisters",NA,6.2,833,1,1,0
"19-1947","tt0037674","Children of Paradise",NA,8.3,20882,1,1,0
"19-1947","tt0037849","Kitty",NA,7,779,1,1,0
"19-1947","tt0037980","Vacation from Marriage",NA,7.1,1473,1,0,1
"19-1947","tt0038032","Road to Utopia",NA,7.1,3698,1,1,0
"19-1947","tt0038053","Saratoga Trunk",NA,6.4,1551,1,1,0
"19-1947","tt0038303","Anna and the King of Siam",NA,7,2584,5,3,2
"19-1947","tt0038312","Atomic Power",NA,5.3,38,1,1,0
"19-1947","tt0038363","Blithe Spirit",6,7,7742,1,0,1
"19-1947","tt0038369","The Blue Dahlia",NA,7.1,9507,1,1,0
"19-1947","tt0038370","Blue Skies",NA,6.4,1537,2,2,0
"19-1947","tt0038379","A Boy and His Dog",NA,6.1,244,1,0,1
"19-1947","tt0038390","Caesar and Cleopatra",NA,6.2,3095,1,1,0
"19-1947","tt0038395","Canyon Passage",NA,6.9,2606,1,1,0
"19-1947","tt0038406","Centennial Summer",NA,6.1,415,2,2,0
"19-1947","tt0038413","Musical Moments from Chopin",5,6.5,235,1,1,0
"19-1947","tt0038421","College Queen",NA,NA,NA,1,1,0
"19-1947","tt0038455","The Dark Mirror",NA,7.1,5554,1,1,0
"19-1947","tt0038483","Dive-Hi Champs",NA,5.1,21,1,1,0
"19-1947","tt0038499","Duel in the Sun",NA,6.7,9353,2,2,0
"19-1947","tt0038515","Facing Your Danger",NA,6.3,234,1,0,1
"19-1947","tt0038569","Golden Horses",NA,NA,NA,1,1,0
"19-1947","tt0038578","The Green Years",NA,7,1068,2,2,0
"19-1947","tt0038589","The Harvey Girls",6,7,4745,2,1,1
"19-1947","tt0038602","Hiss and Yell",NA,5.6,47,1,1,0
"19-1947","tt0038622","Humoresque",NA,7.3,4846,1,1,0
"19-1947","tt0038650","It's a Wonderful Life",8,8.6,489901,5,5,0
"19-1947","tt0038657","John Henry and the Inky-Poo",NA,6.4,288,1,1,0
"19-1947","tt0038661","The Jolson Story",NA,7.2,1745,6,4,2
"19-1947","tt0038669","The Killers",7,7.7,23201,4,4,0
"19-1947","tt0038690","Life at the Zoo",NA,NA,NA,1,1,0
"19-1947","tt0038708","The Luckiest Guy in the World",NA,6.9,324,1,1,0
"19-1947","tt0038776","Night and Day",NA,6.1,3099,1,1,0
"19-1947","tt0038787","Notorious",7,7.9,105800,2,2,0
"19-1947","tt0038825","Paramount News Issue #37",NA,5.5,19,1,1,0
"19-1947","tt0038873","The Razor's Edge",9,7.3,6592,4,3,1
"19-1947","tt0038890","Rome, Open City",8,8,28430,1,1,0
"19-1947","tt0038919","Seeds of Destiny",8,6.3,113,1,0,1
"19-1947","tt0038924","The Seventh Veil",6,6.7,2272,1,0,1
"19-1947","tt0038948","Sister Kenny",NA,7.2,1242,1,1,0
"19-1947","tt0038953","Smart as a Fox",NA,5.9,143,1,1,0
"19-1947","tt0038975","The Spiral Staircase",8,7.3,11051,1,1,0
"19-1947","tt0038978","Squatter's Rights",6,6.7,535,1,1,0
"19-1947","tt0038984","A Stolen Life",NA,7.2,3975,1,1,0
"19-1947","tt0038988","The Strange Love of Martha Ivers",8,7.4,10803,1,1,0
"19-1947","tt0038991","The Stranger",7,7.3,28315,1,1,0
"19-1947","tt0038998","Sure Cures",NA,5.6,175,1,1,0
"19-1947","tt0039040","To Each His Own",NA,7.6,2982,2,1,1
"19-1947","tt0039043","Traffic with the Devil",6,6.5,270,1,1,0
"19-1947","tt0039093","Walky Talky Hawky",6,7.4,878,1,1,0
"19-1947","tt0039111","The Yearling",6,7.2,6334,7,5,2
"19-1947","tt0039251","The Cat Concerto",9,8.2,4744,1,0,1
"20-1948","tt0038574","Great Expectations",9,7.8,25943,5,3,2
"20-1948","tt0038913","Shoeshine",NA,8,8004,1,1,0
"20-1948","tt0038969","Song of the South",NA,6.9,15007,2,1,1
"20-1948","tt0039038","The Time, the Place and the Girl",NA,5.9,349,1,1,0
"20-1948","tt0039169","The Bachelor and the Bobby-Soxer",NA,7.2,9481,1,0,1
"20-1948","tt0039190","The Bishop's Wife",8,7.6,20453,5,4,1
"20-1948","tt0039192","Black Narcissus",6,7.7,27078,2,0,2
"20-1948","tt0039204","Body and Soul",7,7.6,5292,3,2,1
"20-1948","tt0039208","Boomerang!",7,7.2,4975,1,1,0
"20-1948","tt0039221","Brooklyn, U.S.A.",NA,4.9,20,1,1,0
"20-1948","tt0039234","A Cage of Nightingales",NA,6.6,246,1,1,0
"20-1948","tt0039243","Captain from Castile",NA,6.8,2174,1,1,0
"20-1948","tt0039258","Champagne for Two",5,5.8,99,1,1,0
"20-1948","tt0039263","Chip an' Dale",7,7.3,1899,1,1,0
"20-1948","tt0039267","Climbing the Matterhorn",NA,5.5,21,1,0,1
"20-1948","tt0039286","Crossfire",7,7.3,9483,5,5,0
"20-1948","tt0039335","A Double Life",7,7,3792,4,2,2
"20-1948","tt0039338","Dr. Jekyll and Mr. Mouse",7,7.8,1933,1,1,0
"20-1948","tt0039349","The Egg and I",NA,6.9,3025,1,1,0
"20-1948","tt0039370","The Farmer's Daughter",NA,7.2,2823,2,1,1
"20-1948","tt0039377","Fiesta",NA,5.9,630,1,1,0
"20-1948","tt0039379","Fight of the Wild Stallions",3,4.8,44,1,1,0
"20-1948","tt0039384","First Steps",5,6.2,74,1,0,1
"20-1948","tt0039391","Forever Amber",NA,6.5,1605,1,1,0
"20-1948","tt0039394","The Foxes of Harrow",NA,6.5,559,1,1,0
"20-1948","tt0039416","Gentleman's Agreement",NA,7.2,17505,7,5,2
"20-1948","tt0039420","The Ghost and Mrs. Muir",5,7.8,20559,1,1,0
"20-1948","tt0039425","Give Us the Earth!",NA,5.6,135,1,1,0
"20-1948","tt0039431","Good News",6,6.7,2803,1,1,0
"20-1948","tt0039432","Goodbye, Miss Turlock",NA,6.5,232,1,0,1
"20-1948","tt0039437","Green Dolphin Street",NA,6.8,1743,4,3,1
"20-1948","tt0039502","It Happened on Fifth Avenue",7,7.6,6178,1,1,0
"20-1948","tt0039517","Journey Into Medicine",NA,5.8,39,1,1,0
"20-1948","tt0039536","Kiss of Death",8,7.4,9360,2,2,0
"20-1948","tt0039566","Life with Father",7,7.1,6292,4,4,0
"20-1948","tt0039628","Miracle on 34th Street",7,7.9,54009,4,1,3
"20-1948","tt0039631","Monsieur Verdoux",6,7.8,18849,1,1,0
"20-1948","tt0039633","Moon Rockets",NA,5,16,1,1,0
"20-1948","tt0039634","Mother Wore Tights",NA,6.5,783,3,2,1
"20-1948","tt0039636","Mourning Becomes Electra",NA,6.3,1282,2,2,0
"20-1948","tt0039647","My Wild Irish Rose",NA,6.3,431,1,1,0
"20-1948","tt0039671","Now You See It",NA,6.8,117,1,1,0
"20-1948","tt0039677","Odd Man Out",9,7.6,11087,1,1,0
"20-1948","tt0039694","The Paradine Case",NA,6.5,12170,1,1,0
"20-1948","tt0039697","Passport to Nowhere",NA,5.6,11,1,1,0
"20-1948","tt0039698","The Perils of Pauline",NA,6.4,1233,1,1,0
"20-1948","tt0039711","Pluto's Blue Note",5,6.7,454,1,1,0
"20-1948","tt0039725","Possessed",8,7.1,5813,1,1,0
"20-1948","tt0039768","Ride the Pink Horse",NA,7.2,3359,1,1,0
"20-1948","tt0039776","Road to Rio",NA,6.9,3484,1,1,0
"20-1948","tt0039802","School in the Mailbox",6,6,41,1,1,0
"20-1948","tt0039840","Smash-Up: The Story of a Woman",NA,6.3,1668,2,2,0
"20-1948","tt0039843","So You Want to Be in Pictures",NA,6.6,227,1,1,0
"20-1948","tt0039881","T-Men",6,6.9,3838,1,1,0
"20-1948","tt0039919","Tubby the Tuba",NA,7,306,1,1,0
"20-1948","tt0039923","Tweetie Pie",5,7.1,1517,1,0,1
"20-1948","tt0039931","Unconquered",NA,6.8,2802,1,1,0
"20-1948","tt0039968","A Voice Is Born",NA,NA,NA,1,1,0
"20-1948","tt0040004","The World Is Rich",NA,6.5,19,1,1,0
"20-1948","tt0040285","Design for Death",NA,5.9,45,1,0,1
"21-1949","tt0039648","Rhythm of a City",NA,7,152,1,0,1
"21-1949","tt0040101","Annie Was a Wonder",NA,6.3,258,1,1,0
"21-1949","tt0040141","B.F.'s Daughter",NA,6.1,796,1,1,0
"21-1949","tt0040200","Calgary Stampede",NA,5.7,177,1,1,0
"21-1949","tt0040214","Casbah",NA,6,556,1,1,0
"21-1949","tt0040233","Cinderella Horse",NA,NA,NA,1,1,0
"21-1949","tt0040281","Deep Waters",NA,6.6,361,1,1,0
"21-1949","tt0040308","Easter Parade",NA,7.3,10789,1,0,1
"21-1949","tt0040317","The Emperor Waltz",NA,6,1874,2,2,0
"21-1949","tt0040367","A Foreign Affair",NA,7.3,8357,2,2,0
"21-1949","tt0040393","Going to Blazes!",NA,6.5,117,1,1,0
"21-1949","tt0040402","Green Grass of Wyoming",NA,6,464,1,1,0
"21-1949","tt0040416","Hamlet",7,7.6,18070,7,3,4
"21-1949","tt0040428","Heart to Heart",NA,5.4,122,1,1,0
"21-1949","tt0040458","I Remember Mama",NA,7.9,5941,4,4,0
"21-1949","tt0040491","Joan of Arc",NA,6.4,3697,7,5,2
"21-1949","tt0040495","Johnny Belinda",NA,7.7,5186,12,11,1
"21-1949","tt0040506","Key Largo",7,7.7,43464,1,0,1
"21-1949","tt0040550","Louisiana Story",NA,6.5,2115,1,1,0
"21-1949","tt0040552","The Loves of Carmen",NA,6.1,1366,1,1,0
"21-1949","tt0040553","The Luck of the Irish",NA,6.6,1112,1,1,0
"21-1949","tt0040588","Mickey and the Seal",6,6.9,1310,1,1,0
"21-1949","tt0040607","Moonrise",7,7,2921,1,1,0
"21-1949","tt0040636","The Naked City",9,7.6,15167,3,1,2
"21-1949","tt0040673","Operation Vittles",NA,5.6,41,1,1,0
"21-1949","tt0040679","The Paleface",NA,6.6,4470,1,0,1
"21-1949","tt0040694","The Pirate",NA,6.9,5487,1,1,0
"21-1949","tt0040705","Portrait of Jennie",5,7.6,7405,2,1,1
"21-1949","tt0040717","The Quiet One",NA,6.5,303,1,1,0
"21-1949","tt0040724","Red River",9,7.8,33738,2,2,0
"21-1949","tt0040725","The Red Shoes",10,8.1,38299,5,3,2
"21-1949","tt0040741","Robin Hoodlum",4,6.2,194,1,1,0
"21-1949","tt0040745","Romance on the High Seas",NA,7,2695,2,2,0
"21-1949","tt0040756","Samba-Mania",NA,NA,NA,1,1,0
"21-1949","tt0040763","Seal Island",NA,7.2,171,1,0,1
"21-1949","tt0040765","The Search",NA,7.8,4717,4,3,1
"21-1949","tt0040767","The Secret Land",NA,6.8,395,1,0,1
"21-1949","tt0040795","Sitting Pretty",NA,7.4,2668,1,1,0
"21-1949","tt0040806","The Snake Pit",NA,7.6,8289,6,5,1
"21-1949","tt0040807","Snow Capers",NA,NA,NA,1,1,0
"21-1949","tt0040813","So You Want to Be on the Radio",NA,6.4,216,1,1,0
"21-1949","tt0040823","Sorry, Wrong Number",9,7.3,12332,1,1,0
"21-1949","tt0040863","Tea for Two Hundred",7,7.2,800,1,1,0
"21-1949","tt0040869","That Lady in Ermine",NA,5.8,893,1,1,0
"21-1949","tt0040876","The Three Musketeers",NA,7.1,6821,1,1,0
"21-1949","tt0040893","Toward Independence",NA,5.8,52,1,0,1
"21-1949","tt0040897","The Treasure of the Sierra Madre",7,8.2,130839,4,1,3
"21-1949","tt0040958","Wet Blanket Policy",5,6.5,268,1,1,0
"21-1949","tt0040962","When My Baby Smiles at Me",NA,5.8,207,2,2,0
"21-1949","tt0040981","You Can't Win",NA,5.6,203,1,1,0
"21-1949","tt0041592","The Little Orphan",7,7.7,1937,1,0,1
"21-1949","tt0041661","Mouse Wreckers",6,7.5,807,1,1,0
"22-1950","tt0038823","Paisan",NA,7.6,9366,1,1,0
"22-1950","tt0040076","Adventures of Don Juan",NA,7,3461,2,1,1
"22-1950","tt0040338","The Fallen Idol",NA,7.6,9477,2,2,0
"22-1950","tt0040522","Bicycle Thieves",9,8.3,172343,1,1,0
"22-1950","tt0040717","The Quiet One",NA,6.5,303,1,1,0
"22-1950","tt0040758","Saraband",NA,6.5,582,1,1,0
"22-1950","tt0040930","Van Gogh",NA,6.7,482,1,0,1
"22-1950","tt0041079","Eighteen Forty-Eight",NA,4,22,1,1,0
"22-1950","tt0041113","All the King's Men",9,7.4,16256,7,4,3
"22-1950","tt0041130","Aquatic House Party",NA,5.1,62,1,0,1
"22-1950","tt0041158","The Barkleys of Broadway",NA,7,3457,1,1,0
"22-1950","tt0041163","Battleground",NA,7.4,7735,6,4,2
"22-1950","tt0041172","Beyond the Forest",NA,6.8,2718,1,1,0
"22-1950","tt0041202","Boy and the Eagle",NA,6,30,1,1,0
"22-1950","tt0041239","Champion",NA,7.3,4691,6,5,1
"22-1950","tt0041240","A Chance to Live",NA,5.4,52,1,0,1
"22-1950","tt0041242","Chase of Death",NA,NA,NA,1,1,0
"22-1950","tt0041255","Once More, My Darling",NA,6.7,231,1,1,0
"22-1950","tt0041257","Come to the Stable",NA,7.1,1576,6,6,0
"22-1950","tt0041283","Daybreak in Udi",NA,5.1,87,1,0,1
"22-1950","tt0041329","Edward, My Son",NA,6.5,1391,1,1,0
"22-1950","tt0041380","For Scent-imental Reasons",6,7.2,1910,1,0,1
"22-1950","tt0041425","The Grass Is Always Greener",NA,6.3,74,1,1,0
"22-1950","tt0041445","The Hasty Heart",NA,7.3,1528,1,1,0
"22-1950","tt0041446","Hatch Up Your Troubles",6,7.4,1312,1,1,0
"22-1950","tt0041452","The Heiress",9,8.1,16991,8,4,4
"22-1950","tt0041514","It Happens Every Spring",NA,6.8,1859,1,1,0
"22-1950","tt0041515","It's a Great Feeling",NA,6.4,1945,1,1,0
"22-1950","tt0041530","Jolson Sings Again",NA,6.6,711,3,3,0
"22-1950","tt0041542","Kenji Comes Home",NA,NA,NA,1,1,0
"22-1950","tt0041587","A Letter to Three Wives",8,7.7,10519,3,1,2
"22-1950","tt0041594","Little Women",NA,7.2,8125,2,1,1
"22-1950","tt0041599","Look for the Silver Lining",NA,6.3,426,1,1,0
"22-1950","tt0041615","Madame Bovary",NA,7,2804,1,1,0
"22-1950","tt0041618","The Magic Fluke",5,6.4,172,1,1,0
"22-1950","tt0041650","Mighty Joe Young",NA,7,5656,1,0,1
"22-1950","tt0041659","Mother Is a Freshman",NA,6.3,447,1,1,0
"22-1950","tt0041672","My Foolish Heart",NA,6.8,1262,2,2,0
"22-1950","tt0041687","Neptune's Daughter",NA,6.3,1718,1,0,1
"22-1950","tt0041716","On the Town",NA,7.3,18534,1,0,1
"22-1950","tt0041737","Passport to Pimlico",NA,7.1,5198,1,1,0
"22-1950","tt0041746","Pinky",NA,7.2,3378,2,2,0
"22-1950","tt0041767","Prince of Foxes",NA,6.9,1930,2,2,0
"22-1950","tt0041813","The Rising Tide",3,5.7,41,1,1,0
"22-1950","tt0041817","Roller Derby Girl",NA,5.8,45,1,1,0
"22-1950","tt0041840","Sand",NA,5.8,112,1,1,0
"22-1950","tt0041841","Sands of Iwo Jima",NA,7,11240,4,4,0
"22-1950","tt0041866","She Wore a Yellow Ribbon",NA,7.2,18981,1,0,1
"22-1950","tt0041889","Snow Carnival",NA,6.1,32,1,1,0
"22-1950","tt0041890","So Dear to My Heart",NA,6.7,1626,1,1,0
"22-1950","tt0041891","So Much for So Little",6,6.1,462,1,0,1
"22-1950","tt0041892","So You Think You're Not Guilty",NA,6,435,1,1,0
"22-1950","tt0041912","Spills and Chills",NA,6.8,42,1,1,0
"22-1950","tt0041928","The Stratton Story",NA,7.1,3288,1,0,1
"22-1950","tt0041978","Toy Tinkers",8,7.5,1445,1,1,0
"22-1950","tt0041994","Tulsa",NA,6.1,1325,1,1,0
"22-1950","tt0041996","Twelve O'Clock High",NA,7.7,15564,4,2,2
"22-1950","tt0042034","Water Trix",NA,6.1,147,1,1,0
"22-1950","tt0042041","White Heat",9,8.1,35194,1,1,0
"22-1950","tt0042046","The Window",7,7.4,4739,1,1,0
"22-1950","tt0042304","Canary Row",7,7.1,1248,1,1,0
"23-1951","tt0040737","Bitter Rice",NA,7.6,4743,1,1,0
"23-1951","tt0041090","Adam's Rib",6,7.4,22644,1,1,0
"23-1951","tt0041788","The Red Danube",NA,6.5,701,1,1,0
"23-1951","tt0041838","Samson and Delilah",NA,6.8,8753,5,3,2
"23-1951","tt0041955","That Forsyte Woman",NA,6.6,1479,1,1,0
"23-1951","tt0041959","The Third Man",8,8.1,179378,3,2,1
"23-1951","tt0042192","All About Eve",9,8.2,137087,12,6,6
"23-1951","tt0042200","Annie Get Your Gun",NA,6.9,5186,4,3,1
"23-1951","tt0042208","The Asphalt Jungle",7,7.8,29381,4,4,0
"23-1951","tt0042256","The Black Rose",NA,6.2,2425,1,1,0
"23-1951","tt0042259","Blaze Busters",NA,6,37,1,1,0
"23-1951","tt0042276","Born Yesterday",9,7.5,12148,5,4,1
"23-1951","tt0042286","Broken Arrow",NA,7.2,9509,3,3,0
"23-1951","tt0042296","Caged",9,7.6,4506,3,3,0
"23-1951","tt0042310","Captain Carey, U.S.A.",NA,6.5,628,1,0,1
"23-1951","tt0042332","Cinderella",5,7.3,171392,3,3,0
"23-1951","tt0042367","Cyrano de Bergerac",NA,7.4,4474,1,0,1
"23-1951","tt0042393","Destination Moon",NA,6.3,4594,2,1,1
"23-1951","tt0042451","Father of the Bride",5,7.1,12336,3,3,0
"23-1951","tt0042460","The Fight: Science Against Cancer",5,5.7,46,1,1,0
"23-1951","tt0042464","The Flame and the Arrow",NA,6.8,4166,2,2,0
"23-1951","tt0042490","The Furies",NA,7.3,3766,1,1,0
"23-1951","tt0042518","Grandad of Races",NA,5.8,158,1,0,1
"23-1951","tt0042520","Grandma Moses",NA,6.3,46,1,1,0
"23-1951","tt0042531","The Gunfighter",NA,7.7,12274,1,1,0
"23-1951","tt0042546","Harvey",9,7.9,57721,2,1,1
"23-1951","tt0042589","I'll Get By",NA,5.9,210,1,1,0
"23-1951","tt0042592","Beaver Valley",NA,7,367,1,0,1
"23-1951","tt0042646","King Solomon's Mines",5,6.7,6828,3,1,2
"23-1951","tt0042687","Louisa",NA,6.7,531,1,1,0
"23-1951","tt0042702","The Magnificent Yankee",NA,6.8,647,2,2,0
"23-1951","tt0042727","The Men",NA,7.1,5013,1,1,0
"23-1951","tt0042742","Mister 880",NA,7,1899,1,1,0
"23-1951","tt0042752","Trio",NA,7.1,891,1,1,0
"23-1951","tt0042768","My Country 'Tis of Thee",4,5.1,166,1,1,0
"23-1951","tt0042771","Mystery Street",NA,7.2,3361,1,1,0
"23-1951","tt0042790","No Sad Songs for Me",NA,6.7,502,1,1,0
"23-1951","tt0042792","No Way Out",NA,7.4,6088,1,1,0
"23-1951","tt0042819","Our Very Own",NA,6.7,648,1,1,0
"23-1951","tt0042832","Panic in the Streets",NA,7.2,8663,1,0,1
"23-1951","tt0042970","Singing Guns",NA,6.3,450,1,1,0
"23-1951","tt0042996","Steps of Age",NA,5.4,49,1,1,0
"23-1951","tt0043014","Sunset Blvd.",8,8.4,232939,11,8,3
"23-1951","tt0043044","Three Little Words",NA,6.9,1979,1,1,0
"23-1951","tt0043050","The Titan: Story of Michelangelo",NA,6.7,124,1,0,1
"23-1951","tt0043053","The Toast of New Orleans",NA,6,748,1,1,0
"23-1951","tt0043073","Trouble Indemnity",6,6.2,147,1,1,0
"23-1951","tt0043116","Wabash Avenue",NA,6.1,338,1,1,0
"23-1951","tt0043123","The West Point Story",NA,6.2,1440,1,1,0
"23-1951","tt0043129","When Willie Comes Marching Home",NA,6.4,832,1,1,0
"23-1951","tt0043135","Why Korea?",NA,5,44,1,0,1
"23-1951","tt0043138","With These Hands",NA,5.4,79,1,1,0
"23-1951","tt0043148","Wrong Way Butch",NA,6.3,164,1,1,0
"23-1951","tt0043581","Gerald McBoing-Boing",6,7.1,2057,1,0,1
"23-1951","tt0043685","Jerry's Cousin",7,7.7,1522,1,1,0
"24-1952","tt0042650","Kon-Tiki",NA,7.9,2764,1,0,1
"24-1952","tt0042757","The Mudlark",NA,6.9,922,1,1,0
"24-1952","tt0042906","La ronde",NA,7.5,5874,2,2,0
"24-1952","tt0042949","Seven Days to Noon",NA,7,2144,1,0,1
"24-1952","tt0043265","The African Queen",8,7.7,83087,4,3,1
"24-1952","tt0043274","Alice in Wonderland",6,7.3,151343,1,1,0
"24-1952","tt0043278","An American in Paris",6,7.2,36254,8,2,6
"24-1952","tt0043316","Balzac",NA,NA,NA,1,1,0
"24-1952","tt0043334","Benjy",NA,6.8,46,1,0,1
"24-1952","tt0043338","Ace in the Hole",6,8.1,38550,1,1,0
"24-1952","tt0043350","The Blue Veil",NA,7.2,470,2,2,0
"24-1952","tt0043361","Bright Victory",NA,7.3,962,2,2,0
"24-1952","tt0043363","Bullfighter and the Lady",NA,6.8,669,1,1,0
"24-1952","tt0043424","Come Fill the Cup",NA,6.8,528,1,1,0
"24-1952","tt0043447","Danger Under the Sea",NA,6.2,16,1,1,0
"24-1952","tt0043455","David and Bathsheba",NA,6.1,2567,5,5,0
"24-1952","tt0043458","Death of a Salesman",NA,7.2,1159,5,5,0
"24-1952","tt0043459","Decision Before Dawn",NA,7.2,2935,2,2,0
"24-1952","tt0043465","Detective Story",9,7.5,9334,4,4,0
"24-1952","tt0043560","Fourteen Hours",NA,7.1,2904,1,1,0
"24-1952","tt0043565","The Frogmen",NA,6.5,1517,2,2,0
"24-1952","tt0043590","Go for Broke!",NA,6.7,1721,1,1,0
"24-1952","tt0043592","Golden Girl",NA,6,308,1,1,0
"24-1952","tt0043599","The Great Caruso",NA,6.5,1419,3,2,1
"24-1952","tt0043633","Here Comes the Groom",NA,6.3,1183,2,1,1
"24-1952","tt0043660","The House on Telegraph Hill",NA,6.9,3639,1,1,0
"24-1952","tt0043664","I Want You",NA,6.5,601,1,1,0
"24-1952","tt0043665","I Was a Communist for the F.B.I.",NA,6.1,941,1,1,0
"24-1952","tt0043709","Kind Lady",NA,7.1,1111,1,1,0
"24-1952","tt0043792","The Mating Season",NA,7.4,1926,1,1,0
"24-1952","tt0043813","The Model and the Marriage Broker",NA,7,865,1,1,0
"24-1952","tt0043839","Nature's Half Acre",6,6.9,273,1,0,1
"24-1952","tt0043882","On the Riviera",NA,6.3,1161,2,2,0
"24-1952","tt0043883","One Who Came Back",8,6.9,91,1,1,0
"24-1952","tt0043924","A Place in the Sun",9,7.7,24311,9,3,6
"24-1952","tt0043949","Quo Vadis",NA,7.1,16371,7,7,0
"24-1952","tt0043968","Rich, Young and Pretty",NA,5.8,559,1,1,0
"24-1952","tt0043969","Ridin' the Rails",NA,5.6,24,1,1,0
"24-1952","tt0043980","Rooty Toot Toot",6,6.8,935,1,1,0
"24-1952","tt0043983","Royal Wedding",NA,6.7,5981,1,1,0
"24-1952","tt0044017","The Seeing Eye",NA,NA,NA,1,1,0
"24-1952","tt0044030","Show Boat",NA,6.9,5322,2,2,0
"24-1952","tt0044077","The Story of Time",8,6.5,83,1,1,0
"24-1952","tt0044079","Strangers on a Train",8,7.9,139416,1,1,0
"24-1952","tt0044081","A Streetcar Named Desire",9,7.9,113097,12,8,4
"24-1952","tt0044083","The Strip",NA,6.1,722,1,1,0
"24-1952","tt0044103","The Tales of Hoffmann",NA,7.1,3830,2,2,0
"24-1952","tt0044112","Teresa",NA,6.4,726,1,1,0
"24-1952","tt0044138","Too Young to Kiss",NA,6.1,611,1,1,0
"24-1952","tt0044157","The Two Mouseketeers",7,7.5,1774,1,0,1
"24-1952","tt0044158","Two Tickets to Broadway",NA,5.5,608,1,1,0
"24-1952","tt0044202","The Well",NA,7.2,872,2,2,0
"24-1952","tt0044207","When Worlds Collide",NA,6.6,8842,2,1,1
"24-1952","tt0044218","World of Kids",NA,4.8,29,1,0,1
"24-1952","tt0044821","Lambert the Sheepish Lion",8,7.6,2548,1,1,0
"25-1953","tt0042876","Rashomon",7,8.2,177578,1,1,0
"25-1953","tt0043794","The Medium",NA,6.2,195,1,1,0
"25-1953","tt0044009","The Sea Around Us",NA,6.1,353,1,0,1
"25-1953","tt0044314","5 Fingers",NA,7.6,5384,2,2,0
"25-1953","tt0044331","Affair in Trinidad",NA,6.6,2996,1,1,0
"25-1953","tt0044381","Athletes of the Saddle",NA,NA,NA,1,1,0
"25-1953","tt0044382","The Atomic City",NA,6.1,514,1,1,0
"25-1953","tt0044391","The Bad and the Beautiful",7,7.8,16191,6,1,5
"25-1953","tt0044402","Because You're Mine",NA,6,408,1,1,0
"25-1953","tt0044419","The Big Sky",NA,6.9,4679,2,2,0
"25-1953","tt0044446","The Sound Barrier",NA,6.7,2248,2,1,1
"25-1953","tt0044447","Bridge of Time",NA,NA,NA,1,1,0
"25-1953","tt0044486","Carrie",NA,7.3,2683,2,2,0
